profile,wave_rank,temporal_variance,peak_index,peak_time,phase
Fabp7,0,0.12639454710630946,0,0.0,1
Hbb-bh1,1,0.07414900481426831,0,0.0,1
Tubb2b,2,0.06954673669596648,0,0.0,1
Pantr1,3,0.06328811680027967,0,0.0,1
Ranbp1,4,0.05209450075416236,0,0.0,1
Hba-x,5,0.04367586089003424,0,0.0,1
Stmn1,6,0.041251350312917615,0,0.0,1
Calm2,7,0.038883375693692976,0,0.0,1
Ndufb9,8,0.03299006831541993,0,0.0,1
Srp14,9,0.03275658188789638,0,0.0,1
Hes5,10,0.03111425513716963,0,0.0,1
Hspd1,11,0.02548380566945014,0,0.0,1
Mdk,12,0.025376641747371562,0,0.0,1
Ldhb,13,0.02318485551532599,0,0.0,1
Psma1,14,0.022889971024428152,0,0.0,1
Nr2f1,15,0.021661975614440058,0,0.0,1
C1qbp,16,0.02058659592210963,0,0.0,1
Raly,17,0.0199888682048826,0,0.0,1
Capzb,18,0.019440924979517177,0,0.0,1
Nes,19,0.0183675891262886,0,0.0,1
Cdca8,20,0.01672906839235591,0,0.0,1
Gadd45g,21,0.015617013231657713,0,0.0,1
Med10,22,0.015494567589857827,0,0.0,1
Vps72,23,0.014315046425578293,0,0.0,1
Igf2bp1,24,0.013445677167375077,0,0.0,1
Metap2,25,0.012934934975176358,0,0.0,1
Tcf7l2,26,0.01214110119452633,0,0.0,1
Ube2b,27,0.012054662271072384,0,0.0,1
Psmc5,28,0.012001016798587052,0,0.0,1
Uqcrc1,29,0.011979299557051539,0,0.0,1
Igfbpl1,30,0.011944235584518579,0,0.0,1
Adh5,31,0.011611872563400615,0,0.0,1
Hdgf,32,0.011254977567700717,0,0.0,1
Rtn3,33,0.010119468852582235,0,0.0,1
Tomm6,34,0.010001908917746102,0,0.0,1
Usp50,35,0.009773803026183001,0,0.0,1
Hnrnpd,36,0.009686028297064069,0,0.0,1
Dcc,37,0.00911679392118079,0,0.0,1
Npas3,38,0.00887535617498206,0,0.0,1
Rala,39,0.008658562737442806,0,0.0,1
Tmem242,40,0.00862600985593894,0,0.0,1
Gmnn,41,0.008318701975747623,0,0.0,1
