"SYMBOL","mapped"
"0610006L08Rik",TRUE
"1700008P02Rik",TRUE
"1700011H14Rik",FALSE
"1700012B07Rik",TRUE
"1700012I11Rik",TRUE
"1700014L14Rik",TRUE
"1700018P08Rik",TRUE
"1700023F02Rik",TRUE
"1700024I08Rik",TRUE
"1700026D11Rik",TRUE
"1700028D13Rik",TRUE
"1700029N11Rik",TRUE
"1700030F04Rik",TRUE
"1700030N03Rik",TRUE
"1700042G15Rik",TRUE
"1700046C09Rik",TRUE
"1700047G03Rik",TRUE
"1700052H01Rik",TRUE
"1700061J23Rik",TRUE
"1700062C10Rik",TRUE
"1700063H04Rik",TRUE
"1700065J11Rik",TRUE
"1700095J07Rik",TRUE
"1700109I08Rik",TRUE
"2010005H15Rik",FALSE
"2310001H17Rik",TRUE
"2310016D03Rik",TRUE
"2900079G21Rik",TRUE
"3110079O15Rik",FALSE
"4732465J04Rik",TRUE
"4833427F10Rik",TRUE
"4930402F06Rik",TRUE
"4930404N11Rik",FALSE
"4930430F21Rik",TRUE
"4930431L21Rik",TRUE
"4930435F18Rik",TRUE
"4930441J16Rik",TRUE
"4930448C13Rik",TRUE
"4930449C09Rik",TRUE
"4930488B22Rik",TRUE
"4930502A04Rik",TRUE
"4930509E16Rik",TRUE
"4930513D17Rik",TRUE
"4930518J21Rik",TRUE
"4930518P08Rik",TRUE
"4930534D22Rik",TRUE
"4930548G14Rik",TRUE
"4930550L24Rik",FALSE
"4930554C24Rik",TRUE
"4930554H23Rik",TRUE
"4930556N09Rik",TRUE
"4930567H12Rik",TRUE
"4930578I06Rik",TRUE
"4930579P08Rik",TRUE
"4930584F24Rik",TRUE
"4932412D23Rik",TRUE
"4933402J10Rik",TRUE
"4933404K13Rik",TRUE
"5033426E14Rik",TRUE
"5330439M10Rik",TRUE
"5430427O19Rik",FALSE
"6030440G07Rik",TRUE
"6430710C18Rik",TRUE
"8030442B05Rik",TRUE
"9130230L23Rik",TRUE
"9230104L09Rik",FALSE
"9230109A22Rik",TRUE
"9230112D13Rik",TRUE
"9930111H07Rik",TRUE
"A1bg",TRUE
"A430078G23Rik",FALSE
"A4gnt",TRUE
"A530021J07Rik",TRUE
"A630023P12Rik",TRUE
"A630095N17Rik",TRUE
"A830008E24Rik",TRUE
"Abca6",TRUE
"Abcb9",TRUE
"Abcc4",TRUE
"AC100400.1",FALSE
"AC102334.1",FALSE
"AC116769.1",FALSE
"AC123977.1",FALSE
"AC124097.1",FALSE
"AC124532.2",FALSE
"AC125117.1",FALSE
"AC127568.1",FALSE
"AC129178.1",FALSE
