"name","value"
"DBSCHEMAVERSION","2.1"
"Db type","OrgDb"
"Supporting package","AnnotationDbi"
"DBSCHEMA","MOUSE_DB"
"ORGANISM","Mus musculus"
"SPECIES","Mouse"
"EGSOURCEDATE","2023-Sep11"
"EGSOURCENAME","Entrez Gene"
"EGSOURCEURL","ftp://ftp.ncbi.nlm.nih.gov/gene/DATA"
"CENTRALID","EG"
"TAXID","10090"
"GOSOURCENAME","Gene Ontology"
"GOSOURCEURL","http://current.geneontology.org/ontology/go-basic.obo"
"GOSOURCEDATE","2023-07-27"
"GOEGSOURCEDATE","2023-Sep11"
"GOEGSOURCENAME","Entrez Gene"
"GOEGSOURCEURL","ftp://ftp.ncbi.nlm.nih.gov/gene/DATA"
"KEGGSOURCENAME","KEGG GENOME"
"KEGGSOURCEURL","ftp://ftp.genome.jp/pub/kegg/genomes"
"KEGGSOURCEDATE","2011-Mar15"
"GPSOURCENAME","UCSC Genome Bioinformatics (Mus musculus)"
"GPSOURCEURL",""
"GPSOURCEDATE","2021-Nov23"
"ENSOURCEDATE","2023-May10"
"ENSOURCENAME","Ensembl"
"ENSOURCEURL","ftp://ftp.ensembl.org/pub/current_fasta"
"UPSOURCENAME","Uniprot"
"UPSOURCEURL","http://www.UniProt.org/"
"UPSOURCEDATE","Mon Sep 18 16:19:56 2023"
