"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","query_id","query_symbol_count","query_mapped_symbol_count","query_entrez_count","background_symbol_count","background_mapped_symbol_count","background_entrez_count","clusterprofiler_pool","multiple_testing_scope"
"CC","GO:0071944","cell periphery","111/210","481/1569",4.16653449744671e-13,1.20662839046057e-09,1.02716039926528e-09,"Pcsk9/Itga9/Mylk/Grm5/Dsp/Krt5/Ahsg/Alb/Alk/Cacna2d3/Car2/Cdh1/Chrm3/Col11a1/Col11a2/Col3a1/Col1a1/Col1a2/Cp/Dcn/Dpp6/Dsc2/Eln/Emp1/Epha7/Mpzl2/Fga/Gja1/Grm1/Gypa/Igf2/Jag2/Kcnd2/Kcns1/Krt14/Krt17/Krt19/Lama2/Lama3/Lama5/Anxa1/Slc2a10/Il17rc/Syt12/Matn2/Mog/Mpl/Mapt/Nrg3/Nrxn1/Ntrk1/Cntn3/Pkd1/Serpinf2/Ppl/Prph/Ptprm/Itgb4/S100a9/Slc4a1/Snca/Sparc/Stfa1/Sema6d/Gabrp/Adamts2/Tgfbr3/Trf/Upk1b/Ush2a/Trpv2/Wnt6/Kcnq5/Rhov/Dlg2/Kel/Cadm2/Sgcd/Olfml2a/Lingo2/Lrrtm4/Iqsec3/Sgcz/Cntn5/Lsamp/Robo2/Ermap/Mdga2/Negr1/Cdh18/Il1rapl1/Nalcn/Flrt2/Rgs6/Pcdh7/Syt7/Htra1/Pkp3/Tacstd2/Angptl4/Perp/Piezo2/Kirrel3/Col6a4/Susd2/Epn3/Lypd6b/Kcnip4/Pcdhga12/Atp1a2/Kcnb2",111,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"CC","GO:0030054","cell junction","53/210","185/1569",3.13651780725836e-09,4.5416777849101e-06,3.86617089715741e-06,"Mylk/Grm5/Dsp/Cdh1/Chrm3/Dbh/Dsc2/Epha7/Fga/Gja1/Grm1/Kcnd2/Lama2/Lama3/Lama5/Anxa1/Syt12/Mapt/Nefl/Nefm/Nrg3/Nrxn1/Ppl/Prph/Ptprm/Itgb4/Slc4a1/Snca/Sparc/Ctnna3/Ccdc85a/Gabrp/Tle2/Ush2a/Kcnq5/Dlg2/Cadm2/Lrrtm4/Iqsec3/Mctp2/Cntn5/Mdga2/Cdh18/Il1rapl1/Flrt2/Syt7/Pkp3/Il1rapl2/Perp/Nts/Kirrel3/Pcdhga12/Atp1a2",53,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"MF","GO:0005198","structural molecule activity","31/210","82/1569",8.49841218895004e-09,6.83081259527799e-06,5.81483101851594e-06,"Mybpc1/Dsp/Krt5/Col11a1/Col11a2/Col3a1/Col1a1/Col1a2/Cpox/Dcn/Eln/Fga/Krt14/Krt15/Krt17/Krt19/Krt4/Krt6a/Lama2/Lama3/Lama5/Matn2/Myh11/Mylpf/Nefl/Nefm/Ppl/Prph/Sparc/Dlg2/Col6a4",31,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"CC","GO:0005576","extracellular region","66/210","263/1569",9.95003565659816e-09,6.83081259527799e-06,5.81483101851594e-06,"Pcsk9/Afp/Ahsg/Alb/Car2/Ckm/Camp/Col11a1/Col11a2/Col3a1/Col1a1/Col1a2/Cp/Cpa3/Dbh/Dcn/Eln/Fga/Hba-a1/Ibsp/Igf2/Lama2/Lama3/Lama5/Anxa1/Matn2/Mapt/Ngp/Nrg3/Pcsk2/Pkd1/Serpinf2/Pnliprp1/Ptgds/S100a9/Sftpc/Snca/Sparc/Serpina1b/Serpina1e/Stfa1/Adamts2/Tff3/Tgfbr3/Trf/Ush2a/Wnt6/Olfml2a/Lingo2/Lrrtm4/Mgat4a/Cpa6/Flrt2/Sfn/Cpxm2/Htra1/Tacstd2/Cxcl14/Angptl4/Adamdec1/Krtdap/Nts/Kirrel3/Col6a4/C1qtnf2/Susd2",66,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"CC","GO:0005886","plasma membrane","90/210","411/1569",1.17935300332838e-08,6.83081259527799e-06,5.81483101851594e-06,"Pcsk9/Itga9/Mylk/Grm5/Dsp/Krt5/Alk/Cacna2d3/Car2/Cdh1/Chrm3/Cp/Dpp6/Dsc2/Emp1/Epha7/Mpzl2/Fga/Gja1/Grm1/Gypa/Jag2/Kcnd2/Kcns1/Krt14/Krt17/Krt19/Lama2/Anxa1/Slc2a10/Il17rc/Syt12/Mog/Mpl/Mapt/Nrg3/Nrxn1/Ntrk1/Cntn3/Pkd1/Ppl/Prph/Ptprm/Itgb4/S100a9/Slc4a1/Snca/Stfa1/Sema6d/Gabrp/Tgfbr3/Trf/Upk1b/Ush2a/Trpv2/Kcnq5/Rhov/Dlg2/Kel/Cadm2/Sgcd/Lrrtm4/Iqsec3/Sgcz/Cntn5/Lsamp/Robo2/Ermap/Mdga2/Negr1/Cdh18/Il1rapl1/Nalcn/Flrt2/Rgs6/Pcdh7/Syt7/Htra1/Pkp3/Tacstd2/Perp/Piezo2/Kirrel3/Susd2/Epn3/Lypd6b/Kcnip4/Pcdhga12/Atp1a2/Kcnb2",90,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"CC","GO:0005615","extracellular space","53/210","194/1569",2.07822127976786e-08,1.00308813770129e-05,8.53893725827425e-06,"Pcsk9/Afp/Ahsg/Alb/Car2/Ckm/Camp/Col11a1/Col11a2/Col3a1/Col1a1/Col1a2/Cp/Cpa3/Dbh/Dcn/Eln/Fga/Hba-a1/Ibsp/Igf2/Lama5/Anxa1/Matn2/Ngp/Nrg3/Pcsk2/Pkd1/Serpinf2/Pnliprp1/Ptgds/S100a9/Sftpc/Snca/Sparc/Serpina1b/Serpina1e/Stfa1/Tff3/Tgfbr3/Trf/Wnt6/Olfml2a/Lingo2/Lrrtm4/Cpa6/Flrt2/Tacstd2/Cxcl14/Angptl4/Krtdap/C1qtnf2/Susd2",53,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"CC","GO:0031012","extracellular matrix","30/210","88/1569",2.38943859000271e-07,9.88544879521122e-05,8.41513560569376e-05,"Ahsg/Alb/Col11a1/Col11a2/Col3a1/Col1a1/Col1a2/Dcn/Eln/Fga/Igf2/Lama2/Lama3/Lama5/Anxa1/Matn2/Serpinf2/Itgb4/Sparc/Sema6d/Adamts2/Trf/Ush2a/Wnt6/Olfml2a/Lingo2/Lrrtm4/Htra1/Angptl4/Col6a4",30,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"BP","GO:0034330","cell junction organization","29/210","84/1569",2.85168006128957e-07,9.88796584091566e-05,8.41727827836016e-05,"Grm5/Dsp/Cdh1/Epha7/Gja1/Lama3/Lama5/Mapt/Nefl/Nrg3/Nrxn1/Ntrk1/Itgb4/Snca/Sparc/Dlg2/Lingo2/Lrrtm4/Iqsec3/Cntn5/Mdga2/Negr1/Cdh18/Il1rapl1/Flrt2/Pkp3/Il1rapl2/Perp/Kirrel3",29,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"CC","GO:0030312","external encapsulating structure","30/210","89/1569",3.18553949157432e-07,9.88796584091566e-05,8.41727827836016e-05,"Ahsg/Alb/Col11a1/Col11a2/Col3a1/Col1a1/Col1a2/Dcn/Eln/Fga/Igf2/Lama2/Lama3/Lama5/Anxa1/Matn2/Serpinf2/Itgb4/Sparc/Sema6d/Adamts2/Trf/Ush2a/Wnt6/Olfml2a/Lingo2/Lrrtm4/Htra1/Angptl4/Col6a4",30,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"BP","GO:0003008","system process","53/210","209/1569",3.41435284562005e-07,9.88796584091566e-05,8.41727827836016e-05,"Mylk/Grm5/Mybpc1/Dsp/Foxp2/Cdh1/Chrm3/Col11a1/Col11a2/Col1a1/Col1a2/Cpa3/Dbh/Dpp6/Dsc2/Fga/Gja1/Grm1/Igf2/Jag2/Kcnd2/Mapt/Myh11/Myh3/Myh8/Mylpf/Nefl/Nrxn1/Ntrk1/Serpinf2/Ptprm/Rgs4/Slc4a1/Snca/Ctnna3/Gabrp/Tff3/Tgfbr3/Tnni2/Tnnt3/Trf/Ush2a/Dlg2/Sgcd/Sgcz/Cntn5/Rbfox1/Pde3a/Ptges/Piezo2/Nts/Myh14/Atp1a2",53,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
