phase,time,mean,std,n_profiles
1,0.0,1.678755848714585,0.5910323143832881,483
1,0.25,1.3322322234898594,0.25404546817949414,483
1,0.5,0.9957775670138603,0.11197149374415498,483
1,0.75,0.6995800521819581,0.19410376615485428,483
1,1.0,0.4452575080782068,0.2590469403269593,483
1,1.25,0.19529505956063717,0.2950167663392298,483
1,1.5,-0.06461189117278086,0.30197196401237647,483
1,1.75,-0.3087322356877447,0.25831017307435256,483
1,2.0,-0.5539084061625937,0.20460443962702438,483
1,2.25,-0.7838381311756993,0.13327753463052908,483
1,2.5,-0.9990610303251797,0.1517038307429813,483
1,2.75,-1.2127929635616037,0.29030269298081557,483
1,3.0,-1.423953600953504,0.47872402416455584,483
2,0.0,-1.897727935252012,0.8619951538734512,299
2,0.25,-1.0889805978009994,0.6963215194483134,299
2,0.5,-0.4221934948899578,0.5832837484706234,299
2,0.75,0.1026307265785189,0.48821687249607354,299
2,1.0,0.4587328605021283,0.3774051177040281,299
2,1.25,0.7268441002270113,0.26627648773779977,299
2,1.5,0.8635460085509674,0.17384078066839867,299
2,1.75,0.8662046554162047,0.19855768089321674,299
2,2.0,0.7442766822663534,0.32115737217550977,299
2,2.25,0.5038737897643316,0.45053129494213046,299
2,2.5,0.1710922072674195,0.6024196284050868,299
2,2.75,-0.2616596305035594,0.7758700128054189,299
2,3.0,-0.7666393721264073,0.9671792086897618,299
3,0.0,-1.906577625432563,0.6608812791489421,218
3,0.25,-1.420567683235995,0.37979996439601044,218
3,0.5,-0.9556389927269509,0.26054079914247025,218
3,0.75,-0.5639605874658248,0.22936345029809724,218
3,1.0,-0.2712617636230221,0.25745109569745755,218
3,1.25,0.007200053280466951,0.31069128594579254,218
3,1.5,0.2338745001965631,0.3686938340056674,218
3,1.75,0.4540171997978002,0.3711272768790678,218
3,2.0,0.6219035865044362,0.35592519901697545,218
3,2.25,0.7743489278210953,0.2807803769523313,218
3,2.5,0.9122802540149539,0.19713363025890301,218
3,2.75,1.0243181061328115,0.27795705561533146,218
3,3.0,1.090064024736229,0.5152293347099091,218
