permutation_stratum,pair_count,positive_pairs,distinct_scores
self=0|abundance=0|distance=0,6,6,6
self=0|abundance=0|distance=1,17,0,1
self=0|abundance=0|distance=2,35,0,1
self=0|abundance=0|distance=3,28,0,1
self=0|abundance=1|distance=0,20,20,20
self=0|abundance=1|distance=1,23,9,10
self=0|abundance=1|distance=2,19,0,1
self=0|abundance=1|distance=3,23,0,1
self=0|abundance=2|distance=0,10,10,10
self=0|abundance=2|distance=1,34,10,11
self=0|abundance=2|distance=2,17,0,1
self=0|abundance=2|distance=3,27,1,2
self=0|abundance=3|distance=0,39,39,39
self=0|abundance=3|distance=1,14,11,12
self=0|abundance=3|distance=2,18,0,1
self=0|abundance=3|distance=3,12,0,1
self=1|abundance=0|distance=0,2,2,2
self=1|abundance=0|distance=1,2,1,2
self=1|abundance=0|distance=2,1,0,1
self=1|abundance=1|distance=0,5,5,5
self=1|abundance=2|distance=0,2,2,2
self=1|abundance=3|distance=0,7,7,7
