dataset,top_n,min,mean,max
arista,10,0.6666666666666666,0.8484848484848485,1.0
arista,50,0.7241379310344828,0.7730653961520653,0.8867924528301887
arista,100,0.7699115044247787,0.8453078178861361,0.9047619047619048
chicken_heart,10,0.42857142857142855,0.509680795395081,0.6666666666666666
chicken_heart,50,0.5384615384615384,0.6215268870704392,0.6666666666666666
chicken_heart,100,0.6129032258064516,0.6880150021859427,0.7699115044247787
mosta,10,1.0,1.0,1.0
mosta,50,0.5873015873015873,0.6640892377678077,0.7543859649122807
mosta,100,0.7857142857142857,0.8231624162161515,0.8518518518518519
zebrafish,10,1.0,1.0,1.0
zebrafish,50,0.8867924528301887,0.9874213836477987,1.0
zebrafish,100,0.8348623853211009,0.9350394708106299,1.0
