dataset,time,normalized_time,scope,n_pairs,spearman,top_n,top_overlap_n,top_jaccard
Zebrafish,0.0,0.0,all_scored_pairs,1832,0.9999936390738018,10,10,1.0
Zebrafish,0.0,0.0,multisubunit_pairs,973,0.999995380226684,10,10,1.0
Zebrafish,0.5,0.125,all_scored_pairs,1832,0.9607289376014747,10,10,1.0
Zebrafish,0.5,0.125,multisubunit_pairs,973,0.9504401396705657,10,6,0.42857142857142855
Zebrafish,1.0,0.25,all_scored_pairs,1832,,10,10,1.0
Zebrafish,1.0,0.25,multisubunit_pairs,973,,10,10,1.0
Zebrafish,1.5,0.375,all_scored_pairs,1832,,10,10,1.0
Zebrafish,1.5,0.375,multisubunit_pairs,973,,10,10,1.0
Zebrafish,2.0,0.5,all_scored_pairs,1832,0.9999213877889196,10,10,1.0
Zebrafish,2.0,0.5,multisubunit_pairs,973,0.9999626487875627,10,10,1.0
Zebrafish,2.5,0.625,all_scored_pairs,1832,0.954636383167269,10,10,1.0
Zebrafish,2.5,0.625,multisubunit_pairs,973,0.9455281936454074,10,5,0.3333333333333333
Zebrafish,3.0,0.75,all_scored_pairs,1832,0.99375282620857,10,10,1.0
Zebrafish,3.0,0.75,multisubunit_pairs,973,0.9921851493168778,10,9,0.8181818181818182
Zebrafish,3.5,0.875,all_scored_pairs,1832,0.9565634423154612,10,10,1.0
Zebrafish,3.5,0.875,multisubunit_pairs,973,0.9450917317821056,10,8,0.6666666666666666
Zebrafish,4.0,1.0,all_scored_pairs,1832,0.976764072569014,10,10,1.0
Zebrafish,4.0,1.0,multisubunit_pairs,973,0.9693872481685787,10,9,0.8181818181818182
MOSTA,0.0,0.0,all_scored_pairs,1757,0.9825945790454023,10,10,1.0
MOSTA,0.0,0.0,multisubunit_pairs,887,0.9711768385361361,10,8,0.6666666666666666
MOSTA,0.5,0.16666666666666666,all_scored_pairs,1757,0.9826913637930411,10,10,1.0
