dataset,time,top_n,intersection,union,jaccard
arista,0.0,100,93,107,0.8691588785046729
arista,0.5,100,92,108,0.8518518518518519
arista,1.0,100,95,105,0.9047619047619048
arista,1.5,100,93,107,0.8691588785046729
arista,2.0,100,90,110,0.8181818181818182
arista,2.5,100,87,113,0.7699115044247787
arista,3.0,100,89,111,0.8018018018018018
arista,3.5,100,90,110,0.8181818181818182
arista,4.0,100,95,105,0.9047619047619048
chicken_heart,0.0,100,84,116,0.7241379310344828
chicken_heart,0.5,100,76,124,0.6129032258064516
chicken_heart,1.0,100,82,118,0.6949152542372882
chicken_heart,1.5,100,79,121,0.6528925619834711
chicken_heart,2.0,100,87,113,0.7699115044247787
chicken_heart,2.5,100,81,119,0.680672268907563
chicken_heart,3.0,100,81,119,0.680672268907563
mosta,0.0,100,88,112,0.7857142857142857
mosta,0.5,100,89,111,0.8018018018018018
mosta,1.0,100,90,110,0.8181818181818182
mosta,1.5,100,91,109,0.8348623853211009
mosta,2.0,100,92,108,0.8518518518518519
mosta,2.5,100,91,109,0.8348623853211009
mosta,3.0,100,91,109,0.8348623853211009
zebrafish,0.0,100,100,100,1.0
zebrafish,0.5,100,96,104,0.9230769230769231
zebrafish,1.0,100,100,100,1.0
zebrafish,1.5,100,100,100,1.0
zebrafish,2.0,100,91,109,0.8348623853211009
zebrafish,2.5,100,95,105,0.9047619047619048
zebrafish,3.0,100,97,103,0.941747572815534
zebrafish,3.5,100,97,103,0.941747572815534
zebrafish,4.0,100,93,107,0.8691588785046729
