dataset,time,top_n,scored_pairs,intersection,union,jaccard
arista,0.0,10,531,9,11,0.8181818181818182
arista,0.0,50,531,47,53,0.8867924528301887
arista,0.0,100,531,93,107,0.8691588785046729
arista,0.5,10,531,9,11,0.8181818181818182
arista,0.5,50,531,45,55,0.8181818181818182
arista,0.5,100,531,92,108,0.8518518518518519
arista,1.0,10,531,8,12,0.6666666666666666
arista,1.0,50,531,42,58,0.7241379310344828
arista,1.0,100,531,95,105,0.9047619047619048
arista,1.5,10,531,10,10,1.0
arista,1.5,50,531,43,57,0.7543859649122807
arista,1.5,100,531,93,107,0.8691588785046729
arista,2.0,10,531,8,12,0.6666666666666666
arista,2.0,50,531,44,56,0.7857142857142857
arista,2.0,100,531,90,110,0.8181818181818182
arista,2.5,10,531,10,10,1.0
arista,2.5,50,531,42,58,0.7241379310344828
arista,2.5,100,531,87,113,0.7699115044247787
arista,3.0,10,531,10,10,1.0
arista,3.0,50,531,44,56,0.7857142857142857
arista,3.0,100,531,89,111,0.8018018018018018
arista,3.5,10,531,10,10,1.0
arista,3.5,50,531,43,57,0.7543859649122807
arista,3.5,100,531,90,110,0.8181818181818182
arista,4.0,10,531,8,12,0.6666666666666666
arista,4.0,50,531,42,58,0.7241379310344828
arista,4.0,100,531,95,105,0.9047619047619048
chicken_heart,0.0,10,745,8,12,0.6666666666666666
chicken_heart,0.0,50,745,40,60,0.6666666666666666
chicken_heart,0.0,100,745,84,116,0.7241379310344828
chicken_heart,0.5,10,745,6,14,0.42857142857142855
chicken_heart,0.5,50,745,39,61,0.639344262295082
chicken_heart,0.5,100,745,76,124,0.6129032258064516
chicken_heart,1.0,10,745,7,13,0.5384615384615384
chicken_heart,1.0,50,745,40,60,0.6666666666666666
chicken_heart,1.0,100,745,82,118,0.6949152542372882
chicken_heart,1.5,10,745,7,13,0.5384615384615384
chicken_heart,1.5,50,745,39,61,0.639344262295082
chicken_heart,1.5,100,745,79,121,0.6528925619834711
chicken_heart,2.0,10,745,6,14,0.42857142857142855
chicken_heart,2.0,50,745,38,62,0.6129032258064516
chicken_heart,2.0,100,745,87,113,0.7699115044247787
chicken_heart,2.5,10,745,6,14,0.42857142857142855
chicken_heart,2.5,50,745,37,63,0.5873015873015873
chicken_heart,2.5,100,745,81,119,0.680672268907563
chicken_heart,3.0,10,745,7,13,0.5384615384615384
chicken_heart,3.0,50,745,35,65,0.5384615384615384
chicken_heart,3.0,100,745,81,119,0.680672268907563
mosta,0.0,10,1757,10,10,1.0
mosta,0.0,50,1757,37,63,0.5873015873015873
mosta,0.0,100,1757,88,112,0.7857142857142857
mosta,0.5,10,1757,10,10,1.0
mosta,0.5,50,1757,39,61,0.639344262295082
mosta,0.5,100,1757,89,111,0.8018018018018018
mosta,1.0,10,1757,10,10,1.0
mosta,1.0,50,1757,40,60,0.6666666666666666
mosta,1.0,100,1757,90,110,0.8181818181818182
mosta,1.5,10,1757,10,10,1.0
mosta,1.5,50,1757,39,61,0.639344262295082
mosta,1.5,100,1757,91,109,0.8348623853211009
mosta,2.0,10,1757,10,10,1.0
mosta,2.0,50,1757,40,60,0.6666666666666666
mosta,2.0,100,1757,92,108,0.8518518518518519
mosta,2.5,10,1757,10,10,1.0
mosta,2.5,50,1757,41,59,0.6949152542372882
mosta,2.5,100,1757,91,109,0.8348623853211009
mosta,3.0,10,1757,10,10,1.0
mosta,3.0,50,1757,43,57,0.7543859649122807
mosta,3.0,100,1757,91,109,0.8348623853211009
zebrafish,0.0,10,1832,10,10,1.0
zebrafish,0.0,50,1832,50,50,1.0
zebrafish,0.0,100,1832,100,100,1.0
zebrafish,0.5,10,1832,10,10,1.0
zebrafish,0.5,50,1832,50,50,1.0
zebrafish,0.5,100,1832,96,104,0.9230769230769231
zebrafish,1.0,10,1832,10,10,1.0
zebrafish,1.0,50,1832,50,50,1.0
zebrafish,1.0,100,1832,100,100,1.0
zebrafish,1.5,10,1832,10,10,1.0
zebrafish,1.5,50,1832,50,50,1.0
zebrafish,1.5,100,1832,100,100,1.0
zebrafish,2.0,10,1832,10,10,1.0
zebrafish,2.0,50,1832,47,53,0.8867924528301887
zebrafish,2.0,100,1832,91,109,0.8348623853211009
zebrafish,2.5,10,1832,10,10,1.0
zebrafish,2.5,50,1832,50,50,1.0
zebrafish,2.5,100,1832,95,105,0.9047619047619048
zebrafish,3.0,10,1832,10,10,1.0
zebrafish,3.0,50,1832,50,50,1.0
zebrafish,3.0,100,1832,97,103,0.941747572815534
zebrafish,3.5,10,1832,10,10,1.0
zebrafish,3.5,50,1832,50,50,1.0
zebrafish,3.5,100,1832,97,103,0.941747572815534
zebrafish,4.0,10,1832,10,10,1.0
zebrafish,4.0,50,1832,50,50,1.0
zebrafish,4.0,100,1832,93,107,0.8691588785046729
