condition_a,condition_b,component,space,n_valid_cells,valid_cell_fraction,cosine_median,cosine_q25,cosine_q75,cosine_mean,flattened_cosine,setting,replicate
formal_seed42_cutoff0p8,formal_seed42_cutoff1p0,total,joint,11999,1.0,0.9914276599884033,0.9788369238376617,0.9954062402248383,0.9675195217132568,0.9536359310150146,Neighborhood 0.8×,42
formal_seed42_cutoff0p8,formal_seed42_cutoff1p0,total,spatial,11999,1.0,0.9970771074295044,0.9831296801567078,0.9996607899665833,0.9511122703552246,0.9669615030288696,Neighborhood 0.8×,42
formal_seed42_cutoff0p8,formal_seed42_cutoff1p0,total,state,11999,1.0,0.9915562272071838,0.9787816107273102,0.9954337179660797,0.9673228859901428,0.9535993933677673,Neighborhood 0.8×,42
formal_seed42_cutoff0p8,formal_seed42_cutoff1p0,intrinsic,joint,11999,1.0,0.9947869181632996,0.9927496612071991,0.9960702955722809,0.9929222464561462,0.9929325580596924,Neighborhood 0.8×,42
formal_seed42_cutoff0p8,formal_seed42_cutoff1p0,intrinsic,spatial,11999,1.0,0.9986975193023682,0.9925177097320557,0.9998131692409515,0.9772753119468689,0.9967491626739502,Neighborhood 0.8×,42
formal_seed42_cutoff0p8,formal_seed42_cutoff1p0,intrinsic,state,11999,1.0,0.994730532169342,0.9927564561367035,0.9960586726665497,0.9928872585296631,0.9928927421569824,Neighborhood 0.8×,42
formal_seed42_cutoff0p8,formal_seed42_cutoff1p0,interaction,joint,4348,0.36236353029419116,0.9682657122612,0.8332729637622833,0.9857855588197708,0.8677911162376404,0.939746618270874,Neighborhood 0.8×,42
formal_seed42_cutoff0p8,formal_seed42_cutoff1p0,interaction,spatial,4348,0.36236353029419116,0.9424241781234741,0.6331419348716736,0.9957726746797562,0.6586495041847229,0.7228023409843445,Neighborhood 0.8×,42
formal_seed42_cutoff0p8,formal_seed42_cutoff1p0,interaction,state,4348,0.36236353029419116,0.9688338041305542,0.8322840332984924,0.9861272871494293,0.8678520321846008,0.939826488494873,Neighborhood 0.8×,42
formal_seed42_cutoff0p8,formal_seed42_cutoff1p0,growth,scalar,11999,1.0,0.9914038524607993,,,0.9914038524607993,0.9914038524607993,Neighborhood 0.8×,42
