condition,condition_label,condition_order,sender_type,receiver_type,pair_label,pair_order,reference_mean_D_AB_state,condition_mean_D_AB_state,condition_percentile,condition_rank_descending,n_directed_pairs
formal_seed42_cutoff1p0,Seed 42,0,"Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer → Musculature System, Yolk Syncytial Layer",0,23.604977536873676,23.604977536873676,100.0,1.0,698
formal_seed42_cutoff1p0,Seed 42,0,Fast Muscle Cell,Fast Muscle Cell,Fast Muscle Cell → Fast Muscle Cell,1,10.634106021669831,10.634106021669831,99.8567335243553,2.0,698
formal_seed42_cutoff1p0,Seed 42,0,Spinal Cord Ventral Region,Spinal Cord Ventral Region,Spinal Cord Ventral Region → Spinal Cord Ventral Region,2,8.99144364987238,8.99144364987238,99.7134670487106,3.0,698
formal_seed42_cutoff1p0,Seed 42,0,Pigment Cell,Pigment Cell,Pigment Cell → Pigment Cell,3,5.859461148984961,5.859461148984961,99.5702005730659,4.0,698
formal_seed42_cutoff1p0,Seed 42,0,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region → Spinal Cord Dorsal Region,4,5.536850381900846,5.536850381900846,99.42693409742121,5.0,698
formal_seed42_cutoff1p0,Seed 42,0,"Musculature System, Yolk Syncytial Layer",Yolk Syncytial Layer,"Musculature System, Yolk Syncytial Layer → Yolk Syncytial Layer",5,4.326627911006477,4.326627911006477,99.2836676217765,6.0,698
formal_seed42_cutoff1p0,Seed 42,0,Eye,Eye,Eye → Eye,6,4.22893406444942,4.22893406444942,99.14040114613181,7.0,698
formal_seed42_cutoff1p0,Seed 42,0,Pronephros,Pronephros,Pronephros → Pronephros,7,4.172555226311167,4.172555226311167,98.9971346704871,8.0,698
formal_seed42_cutoff1p0,Seed 42,0,Spinal Cord Anterior Region,Spinal Cord Anterior Region,Spinal Cord Anterior Region → Spinal Cord Anterior Region,8,3.632030316478843,3.632030316478843,98.8538681948424,9.0,698
formal_seed42_cutoff1p0,Seed 42,0,Nervous System,Spinal Cord Anterior Region,Nervous System → Spinal Cord Anterior Region,9,3.4997444291859767,3.4997444291859767,98.71060171919771,10.0,698
formal_seed42_cutoff1p0,Seed 42,0,Nervous System,Nervous System,Nervous System → Nervous System,10,2.5767699415755927,2.5767699415755927,98.567335243553,11.0,698
formal_seed42_cutoff1p0,Seed 42,0,Spinal Cord Ventral Region,Fast Muscle Cell,Spinal Cord Ventral Region → Fast Muscle Cell,11,2.30249348445646,2.30249348445646,98.42406876790831,12.0,698
formal_seed43_cutoff1p0,Seed 43,1,"Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer → Musculature System, Yolk Syncytial Layer",0,23.604977536873676,20.02567966154479,100.0,1.0,698
formal_seed43_cutoff1p0,Seed 43,1,Fast Muscle Cell,Fast Muscle Cell,Fast Muscle Cell → Fast Muscle Cell,1,10.634106021669831,2.390123613365318,99.2836676217765,6.0,698
formal_seed43_cutoff1p0,Seed 43,1,Spinal Cord Ventral Region,Spinal Cord Ventral Region,Spinal Cord Ventral Region → Spinal Cord Ventral Region,2,8.99144364987238,3.040989577609482,99.5702005730659,4.0,698
formal_seed43_cutoff1p0,Seed 43,1,Pigment Cell,Pigment Cell,Pigment Cell → Pigment Cell,3,5.859461148984961,2.567475573468073,99.42693409742121,5.0,698
formal_seed43_cutoff1p0,Seed 43,1,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region → Spinal Cord Dorsal Region,4,5.536850381900846,3.43322111462792,99.7134670487106,3.0,698
formal_seed43_cutoff1p0,Seed 43,1,"Musculature System, Yolk Syncytial Layer",Yolk Syncytial Layer,"Musculature System, Yolk Syncytial Layer → Yolk Syncytial Layer",5,4.326627911006477,4.774529411425998,99.8567335243553,2.0,698
formal_seed43_cutoff1p0,Seed 43,1,Eye,Eye,Eye → Eye,6,4.22893406444942,1.7945451308392997,99.14040114613181,7.0,698
formal_seed43_cutoff1p0,Seed 43,1,Pronephros,Pronephros,Pronephros → Pronephros,7,4.172555226311167,1.659103413249757,98.8538681948424,9.0,698
formal_seed43_cutoff1p0,Seed 43,1,Spinal Cord Anterior Region,Spinal Cord Anterior Region,Spinal Cord Anterior Region → Spinal Cord Anterior Region,8,3.632030316478843,1.5940922697169475,98.567335243553,11.0,698
formal_seed43_cutoff1p0,Seed 43,1,Nervous System,Spinal Cord Anterior Region,Nervous System → Spinal Cord Anterior Region,9,3.4997444291859767,1.7905862037620213,98.9971346704871,8.0,698
formal_seed43_cutoff1p0,Seed 43,1,Nervous System,Nervous System,Nervous System → Nervous System,10,2.5767699415755927,1.4393245535251922,98.42406876790831,12.0,698
formal_seed43_cutoff1p0,Seed 43,1,Spinal Cord Ventral Region,Fast Muscle Cell,Spinal Cord Ventral Region → Fast Muscle Cell,11,2.30249348445646,0.5253241657859292,96.84813753581662,23.0,698
formal_seed44_cutoff1p0,Seed 44,2,"Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer → Musculature System, Yolk Syncytial Layer",0,23.604977536873676,23.76995061455773,100.0,1.0,698
formal_seed44_cutoff1p0,Seed 44,2,Fast Muscle Cell,Fast Muscle Cell,Fast Muscle Cell → Fast Muscle Cell,1,10.634106021669831,3.1971276047288715,99.5702005730659,4.0,698
formal_seed44_cutoff1p0,Seed 44,2,Spinal Cord Ventral Region,Spinal Cord Ventral Region,Spinal Cord Ventral Region → Spinal Cord Ventral Region,2,8.99144364987238,5.840252637426686,99.8567335243553,2.0,698
formal_seed44_cutoff1p0,Seed 44,2,Pigment Cell,Pigment Cell,Pigment Cell → Pigment Cell,3,5.859461148984961,2.1201168872705267,98.71060171919771,10.0,698
