condition_a,condition_b,component,space,n_valid_cells,valid_cell_fraction,cosine_median,cosine_q25,cosine_q75,cosine_mean,flattened_cosine,comparison
formal_seed42_cutoff1p0,formal_seed43_cutoff1p0,total,joint,11999,1.0,0.8778892755508423,0.7825762331485748,0.9399601221084595,0.8525163531303406,0.8530431985855103,Seed 42 vs Seed 43
formal_seed42_cutoff1p0,formal_seed43_cutoff1p0,total,spatial,11999,1.0,0.9704075455665588,0.832368940114975,0.9956138730049133,0.7926431894302368,0.9366370439529419,Seed 42 vs Seed 43
formal_seed42_cutoff1p0,formal_seed43_cutoff1p0,total,state,11999,1.0,0.8776409029960632,0.778814822435379,0.9405834674835205,0.8509446382522583,0.8528477549552917,Seed 42 vs Seed 43
formal_seed42_cutoff1p0,formal_seed43_cutoff1p0,intrinsic,joint,11999,1.0,0.9128394722938538,0.840757429599762,0.9523959755897522,0.8864847421646118,0.9237377047538757,Seed 42 vs Seed 43
formal_seed42_cutoff1p0,formal_seed43_cutoff1p0,intrinsic,spatial,11999,1.0,0.9798018932342529,0.8667314946651459,0.996903270483017,0.8120643496513367,0.9695824384689331,Seed 42 vs Seed 43
formal_seed42_cutoff1p0,formal_seed43_cutoff1p0,intrinsic,state,11999,1.0,0.9124914407730103,0.835344135761261,0.9527356624603271,0.8819988965988159,0.9222838878631592,Seed 42 vs Seed 43
formal_seed42_cutoff1p0,formal_seed43_cutoff1p0,interaction,joint,4711,0.39261605133761146,0.6791175603866577,0.4330804944038391,0.7520819902420044,0.5852659940719604,0.8123130798339844,Seed 42 vs Seed 43
formal_seed42_cutoff1p0,formal_seed43_cutoff1p0,interaction,spatial,4711,0.39261605133761146,0.9873415231704712,0.8629290759563446,0.9994604289531708,0.7278355360031128,0.7149187326431274,Seed 42 vs Seed 43
formal_seed42_cutoff1p0,formal_seed43_cutoff1p0,interaction,state,4711,0.39261605133761146,0.6789494156837463,0.4311542361974716,0.7519375383853912,0.5845809578895569,0.8123586177825928,Seed 42 vs Seed 43
formal_seed42_cutoff1p0,formal_seed43_cutoff1p0,growth,scalar,11999,1.0,0.8678202193714762,,,0.8678202193714762,0.8678202193714762,Seed 42 vs Seed 43
formal_seed42_cutoff1p0,formal_seed44_cutoff1p0,total,joint,11999,1.0,0.8888407945632935,0.7904178500175476,0.9513483345508575,0.8549100160598755,0.8661748170852661,Seed 42 vs Seed 44
formal_seed42_cutoff1p0,formal_seed44_cutoff1p0,total,spatial,11999,1.0,0.974723219871521,0.8538683950901031,0.996414840221405,0.8107624053955078,0.9392126202583313,Seed 42 vs Seed 44
formal_seed42_cutoff1p0,formal_seed44_cutoff1p0,total,state,11999,1.0,0.8876345157623291,0.7892748415470123,0.9522926211357117,0.8542448282241821,0.8659688234329224,Seed 42 vs Seed 44
formal_seed42_cutoff1p0,formal_seed44_cutoff1p0,intrinsic,joint,11999,1.0,0.9334335327148438,0.8941868841648102,0.9617253243923187,0.9114809036254883,0.940475344657898,Seed 42 vs Seed 44
formal_seed42_cutoff1p0,formal_seed44_cutoff1p0,intrinsic,spatial,11999,1.0,0.9809302091598511,0.8732799887657166,0.9974855184555054,0.8244036436080933,0.9590111374855042,Seed 42 vs Seed 44
formal_seed42_cutoff1p0,formal_seed44_cutoff1p0,intrinsic,state,11999,1.0,0.9330447912216187,0.8889251351356506,0.9621729850769043,0.9101883172988892,0.9399177432060242,Seed 42 vs Seed 44
formal_seed42_cutoff1p0,formal_seed44_cutoff1p0,interaction,joint,4711,0.39261605133761146,0.634489119052887,0.372927263379097,0.768269807100296,0.563311755657196,0.8333255648612976,Seed 42 vs Seed 44
formal_seed42_cutoff1p0,formal_seed44_cutoff1p0,interaction,spatial,4711,0.39261605133761146,0.9881646633148193,0.8129092156887054,0.9994479119777679,0.6792073845863342,0.8731682896614075,Seed 42 vs Seed 44
formal_seed42_cutoff1p0,formal_seed44_cutoff1p0,interaction,state,4711,0.39261605133761146,0.634108304977417,0.3721696436405182,0.7677134275436401,0.5624660849571228,0.8333420157432556,Seed 42 vs Seed 44
formal_seed42_cutoff1p0,formal_seed44_cutoff1p0,growth,scalar,11999,1.0,0.8508017769860762,,,0.8508017769860762,0.8508017769860762,Seed 42 vs Seed 44
formal_seed42_cutoff1p0,formal_seed46_cutoff1p0,total,joint,11999,1.0,0.9068958759307861,0.8225631415843964,0.9618537425994873,0.877072274684906,0.8741299510002136,Seed 42 vs Seed 46
formal_seed42_cutoff1p0,formal_seed46_cutoff1p0,total,spatial,11999,1.0,0.9722403287887573,0.8513864874839783,0.9960334897041321,0.8065688610076904,0.9418165683746338,Seed 42 vs Seed 46
formal_seed42_cutoff1p0,formal_seed46_cutoff1p0,total,state,11999,1.0,0.907011866569519,0.8213560283184052,0.9624214172363281,0.8765482902526855,0.8739399313926697,Seed 42 vs Seed 46
formal_seed42_cutoff1p0,formal_seed46_cutoff1p0,intrinsic,joint,11999,1.0,0.9453643560409546,0.9050616919994354,0.9695190787315369,0.9270269870758057,0.9512494206428528,Seed 42 vs Seed 46
formal_seed42_cutoff1p0,formal_seed46_cutoff1p0,intrinsic,spatial,11999,1.0,0.9778643250465393,0.8696589171886444,0.9968120157718658,0.8192833065986633,0.958373486995697,Seed 42 vs Seed 46
formal_seed42_cutoff1p0,formal_seed46_cutoff1p0,intrinsic,state,11999,1.0,0.945726215839386,0.9028266072273254,0.9697124063968658,0.9258571267127991,0.9510415196418762,Seed 42 vs Seed 46
formal_seed42_cutoff1p0,formal_seed46_cutoff1p0,interaction,joint,4711,0.39261605133761146,0.7245849370956421,0.362719789147377,0.7868795096874237,0.5939967036247253,0.8440021276473999,Seed 42 vs Seed 46
formal_seed42_cutoff1p0,formal_seed46_cutoff1p0,interaction,spatial,4711,0.39261605133761146,0.9921261668205261,0.9017394781112671,0.9996709823608398,0.7643845081329346,0.895728588104248,Seed 42 vs Seed 46
formal_seed42_cutoff1p0,formal_seed46_cutoff1p0,interaction,state,4711,0.39261605133761146,0.7241594791412354,0.3607427775859833,0.7862879037857056,0.5933877825737,0.8440111875534058,Seed 42 vs Seed 46
formal_seed42_cutoff1p0,formal_seed46_cutoff1p0,growth,scalar,11999,1.0,0.8712221548181055,,,0.8712221548181055,0.8712221548181055,Seed 42 vs Seed 46
formal_seed42_cutoff1p0,formal_seed47_cutoff1p0,total,joint,11999,1.0,0.8410067558288574,0.7817253768444061,0.9261893630027771,0.8361271023750305,0.7577757835388184,Seed 42 vs Seed 47
formal_seed42_cutoff1p0,formal_seed47_cutoff1p0,total,spatial,11999,1.0,0.9630391001701355,0.7992354035377502,0.9951702058315277,0.7646110653877258,0.9428102374076843,Seed 42 vs Seed 47
formal_seed42_cutoff1p0,formal_seed47_cutoff1p0,total,state,11999,1.0,0.8412338495254517,0.7804118394851685,0.9259848594665527,0.8344064354896545,0.7578244805335999,Seed 42 vs Seed 47
formal_seed42_cutoff1p0,formal_seed47_cutoff1p0,intrinsic,joint,11999,1.0,0.9055427312850952,0.8063428401947021,0.9442590475082397,0.869127094745636,0.9095157980918884,Seed 42 vs Seed 47
formal_seed42_cutoff1p0,formal_seed47_cutoff1p0,intrinsic,spatial,11999,1.0,0.9660612940788269,0.8120960593223572,0.9954353272914886,0.7742272615432739,0.9559981822967529,Seed 42 vs Seed 47
formal_seed42_cutoff1p0,formal_seed47_cutoff1p0,intrinsic,state,11999,1.0,0.9047312140464783,0.8033114075660706,0.9444207549095154,0.8639869689941406,0.9081017971038818,Seed 42 vs Seed 47
formal_seed42_cutoff1p0,formal_seed47_cutoff1p0,interaction,joint,4711,0.39261605133761146,0.647437334060669,0.3795981705188751,0.750760406255722,0.555509090423584,0.66928631067276,Seed 42 vs Seed 47
formal_seed42_cutoff1p0,formal_seed47_cutoff1p0,interaction,spatial,4711,0.39261605133761146,0.9877079129219055,0.8561441004276276,0.9995763599872589,0.7169100046157837,0.9136300683021545,Seed 42 vs Seed 47
formal_seed42_cutoff1p0,formal_seed47_cutoff1p0,interaction,state,4711,0.39261605133761146,0.6474412679672241,0.3792249858379364,0.7503614723682404,0.5550230145454407,0.6691649556159973,Seed 42 vs Seed 47
formal_seed42_cutoff1p0,formal_seed47_cutoff1p0,growth,scalar,11999,1.0,0.8771605188367263,,,0.8771605188367263,0.8771605188367263,Seed 42 vs Seed 47
formal_seed43_cutoff1p0,formal_seed44_cutoff1p0,total,joint,11999,1.0,0.9003715515136719,0.8234303593635559,0.9456149041652679,0.8736698031425476,0.9073745012283325,Seed 43 vs Seed 44
formal_seed43_cutoff1p0,formal_seed44_cutoff1p0,total,spatial,11999,1.0,0.9871357083320618,0.9116269946098328,0.9980271458625793,0.8474672436714172,0.9758597612380981,Seed 43 vs Seed 44
formal_seed43_cutoff1p0,formal_seed44_cutoff1p0,total,state,11999,1.0,0.8998422026634216,0.8181291222572327,0.9452840089797974,0.8715132474899292,0.9071400761604309,Seed 43 vs Seed 44
formal_seed43_cutoff1p0,formal_seed44_cutoff1p0,intrinsic,joint,11999,1.0,0.9269213676452637,0.8787581920623779,0.9582339525222778,0.9085379242897034,0.934531033039093,Seed 43 vs Seed 44
formal_seed43_cutoff1p0,formal_seed44_cutoff1p0,intrinsic,spatial,11999,1.0,0.9886693358421326,0.9159974157810211,0.9982101023197174,0.8518680334091187,0.9784848690032959,Seed 43 vs Seed 44
formal_seed43_cutoff1p0,formal_seed44_cutoff1p0,intrinsic,state,11999,1.0,0.9261820316314697,0.87448850274086,0.9578070640563965,0.9045846462249756,0.932887852191925,Seed 43 vs Seed 44
formal_seed43_cutoff1p0,formal_seed44_cutoff1p0,interaction,joint,4711,0.39261605133761146,0.6880172491073608,0.5292074382305145,0.7708148062229156,0.6494206786155701,0.8771227598190308,Seed 43 vs Seed 44
