condition_a,condition_b,comparison,directed_pair_spearman,top20_set_jaccard,top20_weighted_jaccard,n_time_pair_entries
formal_seed42_cutoff1p0,formal_seed43_cutoff1p0,Seed 42 vs Seed 43,0.9634148456864795,0.6842105263157895,0.5493389513888092,236
formal_seed42_cutoff1p0,formal_seed44_cutoff1p0,Seed 42 vs Seed 44,0.9778478730251475,0.8461538461538461,0.6488987915161314,236
formal_seed42_cutoff1p0,formal_seed46_cutoff1p0,Seed 42 vs Seed 46,0.9744196980832348,0.8113207547169812,0.6356901286446509,236
formal_seed42_cutoff1p0,formal_seed47_cutoff1p0,Seed 42 vs Seed 47,0.9790456800887399,0.7777777777777778,0.5258565739272123,236
formal_seed43_cutoff1p0,formal_seed44_cutoff1p0,Seed 43 vs Seed 44,0.9718314488261582,0.7777777777777778,0.7342369470765464,236
formal_seed43_cutoff1p0,formal_seed46_cutoff1p0,Seed 43 vs Seed 46,0.9864744575860354,0.7777777777777778,0.7955172809427871,236
formal_seed43_cutoff1p0,formal_seed47_cutoff1p0,Seed 43 vs Seed 47,0.9830636289354396,0.7454545454545455,0.6178356933195259,236
formal_seed44_cutoff1p0,formal_seed46_cutoff1p0,Seed 44 vs Seed 46,0.9835118936215859,0.8823529411764706,0.8618312371556465,236
formal_seed44_cutoff1p0,formal_seed47_cutoff1p0,Seed 44 vs Seed 47,0.9805319833658195,0.8461538461538461,0.660839405251772,236
formal_seed46_cutoff1p0,formal_seed47_cutoff1p0,Seed 46 vs Seed 47,0.983393208470468,0.7777777777777778,0.6403053637832705,236
