frame_index,time,n_cells,radius_candidate_edges,learned_edges_before_support_gate,learned_edges_after_support_gate,displayed_edges,attention_median,attention_p99,attention_max
0,0,563,10526,1,1,1,0.526995062828,0.526995062828,0.526995062828
2,0.1,589,11184,1,1,1,0.570224285126,0.570224285126,0.570224285126
4,0.2,612,11788,0,0,0,0,0,0
6,0.3,641,12900,0,0,0,0,0,0
8,0.4,671,13842,0,0,0,0,0,0
10,0.5,718,15632,0,0,0,0,0,0
12,0.6,779,17704,0,0,0,0,0,0
14,0.7,825,19564,0,0,0,0,0,0
16,0.8,879,21648,0,0,0,0,0,0
18,0.9,950,24778,0,0,0,0,0,0
20,1,1012,27030,0,0,0,0,0,0
22,1.1,1083,29724,0,0,0,0,0,0
24,1.2,1182,33872,0,0,0,0,0,0
26,1.3,1264,36318,0,0,0,0,0,0
28,1.4,1357,39818,0,0,0,0,0,0
30,1.5,1437,42446,0,0,0,0,0,0
32,1.6,1542,46156,0,0,0,0,0,0
34,1.7,1662,51058,1,1,1,0.248338669538,0.248338669538,0.248338669538
36,1.8,1775,55018,4,4,4,0.246597260237,0.356722676605,0.360107153654
38,1.9,1897,59904,7,7,7,0.331194549799,0.341289961934,0.341323584318
40,2,1998,63184,17,17,17,0.322163641453,0.344493031502,0.344493031502
42,2.1,2101,66600,21,21,21,0.304385125637,0.520287626982,0.530750632286
44,2.2,2200,69896,47,47,47,0.276353597641,0.684763008356,0.696949958801
46,2.3,2298,72556,94,94,94,0.269254028797,0.68973241508,0.692645549774
48,2.4,2390,74314,194,194,194,0.292249381542,0.646288038492,0.65498238802
50,2.5,2459,74506,370,370,260,0.345576226711,0.73048643887,0.755539357662
52,2.6,2527,74408,889,889,260,0.352570205927,0.626360840797,0.743706583977
54,2.7,2607,75026,1770,1770,260,0.277441561222,0.581929067969,0.706645309925
56,2.8,2689,76354,2838,2838,260,0.2801425457,0.612238457799,0.680751144886
58,2.9,2780,77780,4208,4208,260,0.294077843428,0.581730973721,0.670096933842
60,3,2881,79354,6189,6189,260,0.293853402138,0.575153992176,1.02562963963
62,3.1,2990,81176,8428,8428,260,0.297110378742,0.58904420197,1.25243031979
64,3.2,3141,85818,11392,11386,260,0.288645237684,0.647667655349,1.63482403755
66,3.3,3292,89784,14151,14144,260,0.293617963791,0.778599318266,1.84794259071
68,3.4,3483,96414,17366,17361,260,0.31270980835,1.07085814476,1.94260072708
70,3.5,3683,102912,20760,20731,260,0.357827484608,1.34067795277,2.72834944725
72,3.6,3923,111622,24739,24648,260,0.45282292366,1.98469901085,4.47678279877
74,3.7,4147,120802,28611,28272,260,0.620068848133,3.08584475517,6.0669503212
76,3.8,4433,132224,32292,31614,260,0.868987441063,5.26562274456,9.39893722534
78,3.9,4791,143254,34910,30788,260,1.05352044106,6.96529046535,8.88789176941
80,4,5177,157266,36646,27436,260,1.20066213608,5.741756773,10.6454391479
