gene,cluster,temporal_variance,peak_time
2010300C02Rik,1,7.2202012976597505,0.2
Abca7,4,0.0014223743326694,1.7
Acsbg1,1,26.275150493607484,0.0
Acta2,4,0.0013731551307071,2.5
Acvrl1,4,0.0003060189758667,0.0
Adamts2,2,0.0003909762825418,0.0
Adamtsl1,4,0.001113373800905,2.5
Adgrl4,2,0.0012396017065852,0.0
Aldh1a2,4,0.0046625630229236,2.5
Aldh1l1,2,0.1571687179402536,0.0
Angpt1,4,0.0151893600903845,2.5
Ano1,4,0.0001269119110695,2.5
Apod,4,9.5184745374456,2.5
Apoe,4,651.584342735026,2.5
Aqp4,4,1.2378035846087023,2.5
Arc,3,24.97873751338903,1.1
Arhgap12,2,60.15490117097909,0.0
Arhgap25,4,0.0148379145038249,2.5
Arhgap6,1,0.0004174248935309,0.0
Arhgef28,2,0.022617614947301,0.0
Aspg,4,0.0422355739690024,2.5
B2m,4,146560.5203714801,2.5
Bcl11b,1,0.9508949237158656,0.1
Bdnf,1,0.0144946133633045,0.7
Bhlhe22,2,0.2811181312546256,0.0
Bhlhe40,3,0.015188837054067,1.3
Btbd11,1,0.0089851589822558,0.0
C1qa,4,17766.961547804145,2.5
C1qb,4,8708.692177347211,2.5
C1qc,4,1679.5228121062066,2.5
C3,4,0.0004619155295547,2.5
C4a,4,0.5482107643481309,2.5
C4b,4,79.22427595744452,2.5
Cabp7,4,0.3849212405520115,2.5
Cacna2d2,1,0.0403928858515134,0.4
Calb1,2,0.7568834410125238,0.0
Calb2,1,0.0906209459364967,0.0
Car4,1,0.0622051021857301,0.0
Carmn,2,3.332876531454887e-05,0.0
Cbln1,1,0.0001265879796275,0.0
Cbln4,1,0.0038781940342646,0.0
Ccn2,1,0.0002005994102001,0.0
Cd14,4,0.0160678656363524,2.5
Cd24a,4,0.0041533842423346,2.5
Cd300c2,4,0.038965590568183,2.5
Cd33,4,0.4487096243984061,2.5
Cd44,4,0.0085836208942595,2.5
Cd53,4,0.4238255675414683,2.5
Cd63,4,2823.6850840009874,2.5
Cd68,4,14.707000127603862,2.5
Cd69,4,1.3581182380745769e-06,2.5
Cd74,4,0.7215278318094474,2.5
Cd93,2,0.0001035457317666,0.0
Cdh13,1,0.2650075483946068,0.0
Cdh20,1,0.0478951502771782,0.0
Cdh4,1,0.001384776783306,0.0
Cdh6,1,0.0039172255938253,0.0
Cdh9,1,0.0157053387727384,0.0
Chat,4,3.0700177931702167e-06,2.5
Chodl,4,2.1816583563757524e-05,2.5
Chrm2,1,0.0040929805478929,0.0
Cldn5,4,0.0030664247740996,2.4
Clmn,1,5.521059602831405,0.0
Clu,2,304.8801208314512,0.0
Cnp,1,5.397794753923114,0.0
Cntn6,2,0.0026871287599003,0.0
Cntnap4,1,0.0106142699965764,0.0
Cntnap5b,1,0.0033857872436659,0.0
Cobll1,2,0.0009807407735679,0.0
Col19a1,1,0.0041448047152295,0.0
Col1a1,4,0.0013958887801709,2.5
Col6a1,3,0.0005931096487893,1.0
Cort,1,1.96489173696518e-05,0.0
Cplx3,1,0.0019974889285299,0.1
Cpne4,2,0.4493935631930552,0.0
Cpne6,4,0.7671227697543288,2.5
Cpne8,2,0.0061833511553943,0.0
Crh,1,5.61926903986043e-05,0.8
Cryab,4,23.32719883072199,2.5
Csf1r,4,3371.9178526807364,2.5
Cspg4,4,0.0022741724006584,2.5
Cst3,4,5890.361448866905,2.5
Ctsa,4,86.3779365295407,2.5
Ctsb,4,18121.227653249567,2.5
Ctsd,4,172954.75524967042,2.5
Ctsh,4,0.060838577309338,2.5
Ctss,4,77504.58552439131,2.5
Ctsz,4,11.515515716219,2.5
Cux2,1,0.8138044504753223,0.1
Cwh43,1,2.4918102038526216e-05,0.0
Cx3cr1,4,79.67651840772004,2.5
Cxcl10,4,0.0010912627726753,2.5
Cyba,4,0.0133746289143016,2.5
Cyp1b1,4,0.0008172078914811,2.5
Dcn,4,0.0077987009938836,2.5
Deptor,2,0.0001608201885777,0.0
Dkk2,4,6.413955912853938e-05,2.5
