time,pair_id,ligand,receptor,pair,score,max_edge,nonzero_edges,n_cell_types,n_expression_supported_cell_types,n_expression_unsupported_cell_types,n_expression_supported_type_edges,peak_sender,peak_receiver
0.0,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.08100629524615212,0.06882243565087078,18,8,8,0,64,Inhibitory neurons,Astrocytes
0.1,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.0773107597344576,0.06547855638130602,18,8,8,0,64,Inhibitory neurons,Astrocytes
0.2,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.07175481205677203,0.06058676477860766,19,8,8,0,64,Inhibitory neurons,Astrocytes
0.3,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.07033581514702868,0.05822349117670528,20,8,8,0,64,Inhibitory neurons,Astrocytes
0.4,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.06561379040458634,0.055924219652993976,19,8,8,0,64,Inhibitory neurons,Astrocytes
0.5,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.06571971187831874,0.05491347992604891,19,8,8,0,64,Inhibitory neurons,Astrocytes
0.6,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.06209423175116812,0.05233654373712297,19,8,8,0,64,Inhibitory neurons,Astrocytes
0.7,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.062190736087184256,0.05193983530746788,19,8,8,0,64,Inhibitory neurons,Astrocytes
0.8,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.06196631609619671,0.052052594039961285,19,8,8,0,64,Inhibitory neurons,Astrocytes
0.9,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.061230070038720566,0.052131035229113575,18,8,8,0,64,Inhibitory neurons,Astrocytes
1.0,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.05557700049364754,0.047339399086041775,19,8,8,0,64,Inhibitory neurons,Astrocytes
1.1,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.05502846189100681,0.046748224456867174,18,8,8,0,64,Inhibitory neurons,Astrocytes
1.2,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.05739501215515408,0.049657646120334055,20,8,8,0,64,Inhibitory neurons,Astrocytes
1.3,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.05545654961918353,0.04705426026815367,18,8,8,0,64,Inhibitory neurons,Astrocytes
1.4,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.05472468748669239,0.04758242476402883,18,8,8,0,64,Inhibitory neurons,Astrocytes
1.5,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.05555770133903521,0.0482161321984211,16,8,8,0,64,Inhibitory neurons,Astrocytes
1.6,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.05491509972119755,0.04696593246083795,18,8,8,0,64,Inhibitory neurons,Astrocytes
1.7,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.05169902656030984,0.04467671079915648,18,8,8,0,64,Inhibitory neurons,Astrocytes
1.8,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.05362080688573101,0.04733292079212537,16,8,8,0,64,Inhibitory neurons,Astrocytes
1.9,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.0549402997666797,0.049186625479460205,15,8,8,0,64,Inhibitory neurons,Astrocytes
2.0,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.05366462983781525,0.04752306576800846,17,8,8,0,64,Inhibitory neurons,Astrocytes
2.1,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.051006455209899444,0.044966144955562934,13,8,8,0,64,Inhibitory neurons,Astrocytes
2.2,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.05012221613041076,0.04407951013202825,15,8,8,0,64,Inhibitory neurons,Astrocytes
2.3,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.04767070117664603,0.04218942257246043,18,8,8,0,64,Inhibitory neurons,Astrocytes
2.4,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.04584124679698155,0.04086724372602835,15,8,8,0,64,Inhibitory neurons,Astrocytes
2.5,"[""Cdh4"",""Cdh4""]",Cdh4,Cdh4,Cdh4_Cdh4,0.037821240113595674,0.03505611939697643,10,8,8,0,64,Inhibitory neurons,Astrocytes
0.0,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.007849472708802903,0.004884366788763814,18,8,8,0,64,Inhibitory neurons,Astrocytes
0.1,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.0075370577687883565,0.004566260951455829,18,8,8,0,64,Inhibitory neurons,Astrocytes
0.2,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.0056066897565521506,0.004161640959704666,19,8,8,0,64,Inhibitory neurons,Astrocytes
0.3,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.0061713746684767,0.003954053278196386,20,8,8,0,64,Inhibitory neurons,Astrocytes
0.4,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.005679495952472948,0.0037353701572273757,19,8,8,0,64,Inhibitory neurons,Astrocytes
0.5,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.005705524619434451,0.0036143833795580695,19,8,8,0,64,Inhibitory neurons,Astrocytes
0.6,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.0061255764845335155,0.003392342551523205,19,8,8,0,64,Inhibitory neurons,Astrocytes
0.7,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.005765863254423006,0.0033440202553773135,19,8,8,0,64,Inhibitory neurons,Astrocytes
0.8,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.005545370722994458,0.003342542755438093,19,8,8,0,64,Inhibitory neurons,Astrocytes
0.9,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.005394335543270401,0.0033385688848278656,18,8,8,0,64,Inhibitory neurons,Astrocytes
1.0,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.005105644733769454,0.003028549459327743,19,8,8,0,64,Inhibitory neurons,Astrocytes
1.1,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.004277486930652223,0.0030041513357766474,18,8,8,0,64,Inhibitory neurons,Astrocytes
1.2,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.004905898889858699,0.003275513965771347,20,8,8,0,64,Inhibitory neurons,Astrocytes
1.3,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.004582576819910207,0.0031573613272823445,18,8,8,0,64,Inhibitory neurons,Astrocytes
1.4,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.004583093101386788,0.003279506824572519,18,8,8,0,64,Inhibitory neurons,Astrocytes
1.5,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.0046839172168131205,0.003426879607815473,16,8,8,0,64,Inhibitory neurons,Astrocytes
1.6,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.004658703906102594,0.0034657101979690672,18,8,8,0,64,Inhibitory neurons,Astrocytes
1.7,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.00427066551035604,0.0034423334274230255,18,8,8,0,64,Inhibitory neurons,Astrocytes
1.8,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.004876552941402041,0.003817135469825689,16,8,8,0,64,Inhibitory neurons,Astrocytes
1.9,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.00480860961648351,0.004190863795250184,15,8,8,0,64,Inhibitory neurons,Astrocytes
2.0,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.0052914985944782,0.004305256454250406,17,8,8,0,64,Inhibitory neurons,Astrocytes
2.1,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.00517129322340567,0.0043362765481990825,13,8,8,0,64,Inhibitory neurons,Astrocytes
2.2,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.005351926044113828,0.004498447298063793,15,8,8,0,64,Inhibitory neurons,Astrocytes
2.3,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.0056104724786649905,0.004597987589814995,18,8,8,0,64,Inhibitory neurons,Astrocytes
2.4,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.005449058767068608,0.004815719404432324,15,8,8,0,64,Inhibitory neurons,Astrocytes
2.5,"[""Col1a1"",""Cd44""]",Col1a1,Cd44,Col1a1_Cd44,0.004827324544324593,0.004456081815983099,10,8,8,0,64,Inhibitory neurons,Astrocytes
0.0,"[""Col6a1"",""Cd44""]",Col6a1,Cd44,Col6a1_Cd44,0.03512035591520183,0.030969247914661123,18,8,8,0,64,Inhibitory neurons,Astrocytes
0.1,"[""Col6a1"",""Cd44""]",Col6a1,Cd44,Col6a1_Cd44,0.03453433855022181,0.030101065734010005,18,8,8,0,64,Inhibitory neurons,Astrocytes
0.2,"[""Col6a1"",""Cd44""]",Col6a1,Cd44,Col6a1_Cd44,0.03228288950184298,0.02849090098037583,19,8,8,0,64,Inhibitory neurons,Astrocytes
