condition,condition_label,celltype,count,fraction,total
baseline,Baseline,Astrocytes,10561,0.1697609747472312,62211
baseline,Baseline,Excitatory neurons,16945,0.2723794827281349,62211
baseline,Baseline,Fibroblast,3439,0.055279612930189195,62211
baseline,Baseline,Inhibitory neurons,8866,0.14251498931057208,62211
baseline,Baseline,Microglia,3796,0.06101814791596342,62211
baseline,Baseline,OPC,1550,0.024915207921428685,62211
baseline,Baseline,Oligodendrocytes,12535,0.20149169760974747,62211
baseline,Baseline,Pericytes/Endothelial,4519,0.07263988683673306,62211
low,Trem2 low,Astrocytes,11002,0.17786184263704996,61857
low,Trem2 low,Excitatory neurons,16745,0.27070501317555007,61857
low,Trem2 low,Fibroblast,3228,0.05218487802512246,61857
low,Trem2 low,Inhibitory neurons,9499,0.15356386504356823,61857
low,Trem2 low,Microglia,2444,0.039510483857930385,61857
low,Trem2 low,OPC,1617,0.026140937969833647,61857
low,Trem2 low,Oligodendrocytes,12797,0.20688038540504713,61857
low,Trem2 low,Pericytes/Endothelial,4525,0.07315259388589812,61857
high,Trem2 high,Astrocytes,9688,0.14856389259480762,65211
high,Trem2 high,Excitatory neurons,17432,0.2673168637193112,65211
high,Trem2 high,Fibroblast,3741,0.057367622026958644,65211
high,Trem2 high,Inhibitory neurons,8445,0.12950269126374384,65211
high,Trem2 high,Microglia,8082,0.12393614574228275,65211
high,Trem2 high,OPC,1517,0.023262946435417337,65211
high,Trem2 high,Oligodendrocytes,12252,0.18788241247642268,65211
high,Trem2 high,Pericytes/Endothelial,4054,0.06216742574105596,65211
