model_time,status,celltype,count,proportion_percent,total
0.0,generated,Astrocytes,7558,14.096801268301782,53615
0.0,generated,Excitatory neurons,19636,36.624079082346356,53615
0.0,generated,Fibroblast,3159,5.892007833628648,53615
0.0,generated,Inhibitory neurons,8666,16.163387111815723,53615
0.0,generated,Microglia,1795,3.3479436724797167,53615
0.0,generated,OPC,1405,2.620535297957661,53615
0.0,generated,Oligodendrocytes,7343,13.695794087475521,53615
0.0,generated,Pericytes/Endothelial,4053,7.559451645994591,53615
0.1,generated,Astrocytes,7652,14.147577051786936,54087
0.1,generated,Excitatory neurons,19620,36.274890454268125,54087
0.1,generated,Fibroblast,3146,5.8165548098434,54087
0.1,generated,Inhibitory neurons,8801,16.271932257289183,54087
0.1,generated,Microglia,1822,3.3686468097694453,54087
0.1,generated,OPC,1408,2.603213341468375,54087
0.1,generated,Oligodendrocytes,7541,13.942352136372882,54087
0.1,generated,Pericytes/Endothelial,4097,7.574833139201656,54087
0.2,generated,Astrocytes,7745,14.202149117981444,54534
0.2,generated,Excitatory neurons,19577,35.89870539479957,54534
0.2,generated,Fibroblast,3120,5.7212014523049834,54534
0.2,generated,Inhibitory neurons,8945,16.40261121502182,54534
0.2,generated,Microglia,1851,3.394212784684784,54534
0.2,generated,OPC,1407,2.5800418087798436,54534
0.2,generated,Oligodendrocytes,7760,14.229654894194447,54534
0.2,generated,Pericytes/Endothelial,4129,7.571423332233103,54534
0.3,generated,Astrocytes,7871,14.297651268823456,55051
0.3,generated,Excitatory neurons,19483,35.390819421990514,55051
0.3,generated,Fibroblast,3099,5.6293255345043685,55051
0.3,generated,Inhibitory neurons,9138,16.59915351219778,55051
0.3,generated,Microglia,1888,3.429547147190787,55051
0.3,generated,OPC,1421,2.581242847541371,55051
0.3,generated,Oligodendrocytes,7977,14.490199996367007,55051
0.3,generated,Pericytes/Endothelial,4174,7.582060271384716,55051
0.4,generated,Astrocytes,8006,14.411722350230416,55552
0.4,generated,Excitatory neurons,19375,34.877232142857146,55552
0.4,generated,Fibroblast,3095,5.571356566820277,55552
0.4,generated,Inhibitory neurons,9351,16.832877304147466,55552
0.4,generated,Microglia,1916,3.4490207373271886,55552
0.4,generated,OPC,1424,2.563364055299539,55552
0.4,generated,Oligodendrocytes,8197,14.75554435483871,55552
0.4,generated,Pericytes/Endothelial,4188,7.5388824884792625,55552
0.5,generated,Astrocytes,8153,14.535567837404173,56090
0.5,generated,Excitatory neurons,19256,34.33054020324479,56090
0.5,generated,Fibroblast,3087,5.503654840435015,56090
0.5,generated,Inhibitory neurons,9578,17.07612765198788,56090
0.5,generated,Microglia,1945,3.467641290782671,56090
0.5,generated,OPC,1431,2.551256908539847,56090
0.5,generated,Oligodendrocytes,8417,15.006239971474416,56090
0.5,generated,Pericytes/Endothelial,4223,7.528971296131218,56090
0.6,generated,Astrocytes,8281,14.628157569334041,56610
0.6,generated,Excitatory neurons,19126,33.78555025613849,56610
0.6,generated,Fibroblast,3080,5.440734852499558,56610
0.6,generated,Inhibitory neurons,9805,17.320261437908496,56610
0.6,generated,Microglia,1976,3.4905493729023145,56610
0.6,generated,OPC,1442,2.5472531354884294,56610
0.6,generated,Oligodendrocytes,8640,15.262321144674084,56610
0.6,generated,Pericytes/Endothelial,4260,7.525172231054585,56610
0.7,generated,Astrocytes,8441,14.776884967526216,57123
0.7,generated,Excitatory neurons,18999,33.259807783204664,57123
0.7,generated,Fibroblast,3075,5.383120634420461,57123
0.7,generated,Inhibitory neurons,9984,17.47807363058663,57123
0.7,generated,Microglia,2013,3.5239745811669554,57123
0.7,generated,OPC,1446,2.5313796544299145,57123
0.7,generated,Oligodendrocytes,8865,15.5191429021585,57123
0.7,generated,Pericytes/Endothelial,4300,7.52761584650666,57123
0.8,generated,Astrocytes,8592,14.913041968965876,57614
0.8,generated,Excitatory neurons,18823,32.6708786058944,57614
0.8,generated,Fibroblast,3078,5.342451487485681,57614
0.8,generated,Inhibitory neurons,10183,17.67452355330302,57614
0.8,generated,Microglia,2051,3.559898635748256,57614
0.8,generated,OPC,1449,2.5150137119450133,57614
0.8,generated,Oligodendrocytes,9104,15.801714860971291,57614
