perturbed_gene,direction,time,population,module,n_reference_particles,n_perturbed_particles,n_genes,mean_reference,mean_perturbed,delta
Spp1,high,2.5,all_particles,Myelination_Oligo,62211,61180,7,0.1632626950740814,-0.1632620990276336,-0.3265247941017151
Spp1,low,2.5,all_particles,Myelination_Oligo,62211,62684,7,-0.1607540994882583,0.16075100004673,0.3215050995349884
Spp1,high,2.5,all_particles,Endothelial_BBB,62211,61180,4,0.0168735999614,-0.0168729964643716,-0.0337465964257717
Spp1,low,2.5,all_particles,Endothelial_BBB,62211,62684,4,-0.0232135988771915,0.0232141427695751,0.0464277416467666
Spp1,high,2.5,all_particles,SPP1_CD44_axis,62211,61180,4,-0.1712120175361633,0.1712161153554916,0.3424281328916549
Spp1,low,2.5,all_particles,SPP1_CD44_axis,62211,62684,4,0.0494630523025989,-0.0494627580046653,-0.0989258103072643
Spp1,high,2.5,all_particles,DAM_microglia,62211,61180,14,-0.0812978371977806,0.0812968984246254,0.162594735622406
Spp1,low,2.5,all_particles,DAM_microglia,62211,62684,14,0.0437609851360321,-0.0437595769762992,-0.0875205621123313
Spp1,high,2.5,all_particles,Antigen_Presentation_MHCII,62211,61180,3,-0.0970694944262504,0.0970689803361892,0.1941384747624397
Spp1,low,2.5,all_particles,Antigen_Presentation_MHCII,62211,62684,3,0.082788236439228,-0.0827865302562713,-0.1655747666954994
