gene,cluster,temporal_variance,peak_time
Abca7,4,0.0014223743326694,1.7
Acta2,4,0.0013731551307071,2.5
Acvrl1,4,0.0003060189758667,0.0
Adamtsl1,4,0.001113373800905,2.5
Aldh1a2,4,0.0046625630229236,2.5
Angpt1,4,0.0151893600903845,2.5
Ano1,4,0.0001269119110695,2.5
Apod,4,9.5184745374456,2.5
Apoe,4,651.584342735026,2.5
Aqp4,4,1.2378035846087023,2.5
Arhgap25,4,0.0148379145038249,2.5
Aspg,4,0.0422355739690024,2.5
B2m,4,146560.5203714801,2.5
C1qa,4,17766.961547804145,2.5
C1qb,4,8708.692177347211,2.5
C1qc,4,1679.5228121062066,2.5
C3,4,0.0004619155295547,2.5
C4a,4,0.5482107643481309,2.5
C4b,4,79.22427595744452,2.5
Cabp7,4,0.3849212405520115,2.5
Cd14,4,0.0160678656363524,2.5
Cd24a,4,0.0041533842423346,2.5
Cd300c2,4,0.038965590568183,2.5
Cd33,4,0.4487096243984061,2.5
Cd44,4,0.0085836208942595,2.5
Cd53,4,0.4238255675414683,2.5
Cd63,4,2823.6850840009874,2.5
Cd68,4,14.707000127603862,2.5
Cd69,4,1.3581182380745769e-06,2.5
Cd74,4,0.7215278318094474,2.5
Chat,4,3.0700177931702167e-06,2.5
Chodl,4,2.1816583563757524e-05,2.5
Cldn5,4,0.0030664247740996,2.4
Col1a1,4,0.0013958887801709,2.5
Cpne6,4,0.7671227697543288,2.5
Cryab,4,23.32719883072199,2.5
Csf1r,4,3371.9178526807364,2.5
Cspg4,4,0.0022741724006584,2.5
Cst3,4,5890.361448866905,2.5
Ctsa,4,86.3779365295407,2.5
Ctsb,4,18121.227653249567,2.5
Ctsd,4,172954.75524967042,2.5
Ctsh,4,0.060838577309338,2.5
Ctss,4,77504.58552439131,2.5
Ctsz,4,11.515515716219,2.5
Cx3cr1,4,79.67651840772004,2.5
Cxcl10,4,0.0010912627726753,2.5
Cyba,4,0.0133746289143016,2.5
Cyp1b1,4,0.0008172078914811,2.5
Dcn,4,0.0077987009938836,2.5
Dkk2,4,6.413955912853938e-05,2.5
Dkk3,4,3.1705803084377897,2.5
Dpyd,4,0.0174087784277329,2.5
Ebf3,4,0.0002673820439074,2.5
Eya4,4,0.0059735067725311,2.5
Fcer1g,4,0.4100407617732985,2.5
Fcgr3,4,3.56846146950564,2.5
Fibcd1,4,1.087513225985389e-05,2.5
Fmod,4,0.0014036791665703,2.5
Fn1,4,0.0101009739363791,2.5
Fos,4,0.0021657024901484,1.9
