"time_bin","test_ligand","top5_occupancy","aupr_corrected"
"11.8-15.5","Apoe",0.333333333333333,0.109030839361656
"11.8-15.5","C1qa",1,0.11536033515623
"11.8-15.5","C1qb",0.833333333333333,0.122334686142394
"11.8-15.5","C3",0.833333333333333,0.111507908087502
"11.8-15.5","Cd300c2",0,0.0982836380120529
"11.8-15.5","Cdh4",0,0.0897030150071858
"11.8-15.5","Clu",0,0.0998622966747644
"11.8-15.5","Col1a1",1,0.113281118897719
"11.8-15.5","Dcn",0,0.0967545146488314
"11.8-15.5","Pecam1",0.166666666666667,0.105259537500931
"11.8-15.5","Sema3a",0,0.0806755444017014
"11.8-15.5","Spp1",0.333333333333333,0.109537400497836
"15.5-17.9","Apoe",0.75,0.0997181266087264
"15.5-17.9","C1qa",1,0.109636123460098
"15.5-17.9","C1qb",0.25,0.10532587738932
"15.5-17.9","C3",0.75,0.10136149894903
"15.5-17.9","Cd300c2",0,0.0836823956978211
"15.5-17.9","Cdh4",0,0.0884397572295574
"15.5-17.9","Clu",0,0.0976962310365641
"15.5-17.9","Col1a1",0.5,0.104436579278556
"15.5-17.9","Dcn",0,0.0927811693674734
"15.5-17.9","Pecam1",0.5,0.10026863085864
"15.5-17.9","Sema3a",0,0.0745532595935682
"15.5-17.9","Spp1",0.5,0.103174837356458
"2.5-3.5","Apoe",0,0.00322470154071302
"2.5-3.5","C1qa",0.166666666666667,0.0177512006880012
"2.5-3.5","C1qb",0.166666666666667,0.0125678963263572
"2.5-3.5","C3",0,0.00455591394920108
"2.5-3.5","Cd300c2",0,0.008683976315369
"2.5-3.5","Cdh4",0.5,0.0185397208772019
"2.5-3.5","Clu",0.666666666666667,0.0214020849595919
"2.5-3.5","Col1a1",0.166666666666667,0.0202469397704475
"2.5-3.5","Dcn",1,0.0401219382962661
"2.5-3.5","Pecam1",0.5,0.0189989270289251
"2.5-3.5","Sema3a",1,0.0277830045729394
"2.5-3.5","Spp1",0,0.00337326856570538
"3.5-4.4","Apoe",0,0.0354915548475512
"3.5-4.4","C1qa",0.333333333333333,0.0548047473513764
"3.5-4.4","C1qb",0.166666666666667,0.0446564434492939
"3.5-4.4","C3",0,0.0434157483123182
"3.5-4.4","Cd300c2",0.5,0.0517703912718772
"3.5-4.4","Cdh4",0,0.0457038017105568
"3.5-4.4","Clu",0.333333333333333,0.0530701515512525
"3.5-4.4","Col1a1",0.166666666666667,0.0536018117727909
"3.5-4.4","Dcn",1,0.0768387426267839
"3.5-4.4","Pecam1",0.5,0.0558613622395628
"3.5-4.4","Sema3a",0.833333333333333,0.0602562873603745
"3.5-4.4","Spp1",0,0.044638229181375
"4.4-5.4","Apoe",0,0.0786226317300379
"4.4-5.4","C1qa",0.666666666666667,0.0962622940426375
"4.4-5.4","C1qb",0,0.0699980764491024
"4.4-5.4","C3",0,0.0856076579322564
"4.4-5.4","Cd300c2",1,0.106181720460884
"4.4-5.4","Cdh4",0.333333333333333,0.0904515909340851
"4.4-5.4","Clu",0,0.0850937135745914
"4.4-5.4","Col1a1",0.833333333333333,0.0993668042523509
"4.4-5.4","Dcn",0.833333333333333,0.116705157441143
"4.4-5.4","Pecam1",0.666666666666667,0.096826011097014
"4.4-5.4","Sema3a",0,0.079450032596588
"4.4-5.4","Spp1",0.333333333333333,0.095100660345203
"5.4-8.1","Apoe",0,0.0909090223576069
"5.4-8.1","C1qa",0.666666666666667,0.10610798824172
"5.4-8.1","C1qb",0.5,0.111118346055797
"5.4-8.1","C3",0,0.0965258346921208
"5.4-8.1","Cd300c2",0.333333333333333,0.0909606338475963
"5.4-8.1","Cdh4",0.166666666666667,0.0953482488358168
"5.4-8.1","Clu",0,0.094538402152584
"5.4-8.1","Col1a1",0.833333333333333,0.110391343848363
"5.4-8.1","Dcn",0.166666666666667,0.085933956312172
"5.4-8.1","Pecam1",0.833333333333333,0.108036774978963
"5.4-8.1","Sema3a",0,0.0906301621453734
"5.4-8.1","Spp1",0.5,0.106516705115814
"8.1-11.8","Apoe",0,0.110324910884431
"8.1-11.8","C1qa",1,0.1237593809495
"8.1-11.8","C1qb",0.333333333333333,0.117898038775848
"8.1-11.8","C3",0.5,0.115293454594874
"8.1-11.8","Cd300c2",0.166666666666667,0.104312427891566
"8.1-11.8","Cdh4",0.166666666666667,0.105816720359369
"8.1-11.8","Clu",0,0.109430031699832
"8.1-11.8","Col1a1",0.833333333333333,0.123731177870269
"8.1-11.8","Dcn",0,0.102384224299225
"8.1-11.8","Pecam1",0.5,0.117349171309204
"8.1-11.8","Sema3a",0,0.0910059972041255
"8.1-11.8","Spp1",0.666666666666667,0.116509517465287
