"ligand","target","weight","ligand_type","target_type","model_time","age_months","window"
"C1qa","Cd33",0.377182762570128,"Microglia","Microglia receptor",0.3,3.46,"t0p25_to_t0p30"
"C1qa","Cd93",0.715989947226285,"Microglia","Microglia receptor",0.3,3.46,"t0p25_to_t0p30"
"C1qa","Cspg4",0.634342236212051,"Microglia","Microglia receptor",0.3,3.46,"t0p25_to_t0p30"
"Ccn2","Itgam",0.321913069269005,"Fibroblast","Microglia receptor",0.3,3.46,"t0p25_to_t0p30"
"Cd300c2","Ntng1",0.518949460230332,"Microglia","Microglia receptor",0.3,3.46,"t0p25_to_t0p30"
"Cdh4","Cdh4",0.149974680644658,"Inhibitory neurons","Microglia receptor",0.3,3.46,"t0p25_to_t0p30"
"Clu","Trem2",0.385024411082621,"Astrocytes","Microglia receptor",0.3,3.46,"t0p25_to_t0p30"
"Col1a1","Cd44",0.851345938072987,"Fibroblast","Microglia receptor",0.3,3.46,"t0p25_to_t0p30"
"Col1a1","Cd93",0.505137451794435,"Fibroblast","Microglia receptor",0.3,3.46,"t0p25_to_t0p30"
"Dcn","Kdr",0.347708256395097,"Fibroblast","Microglia receptor",0.3,3.46,"t0p25_to_t0p30"
"Lgals3bp","Cd33",0.533331866566671,"Fibroblast","Microglia receptor",0.3,3.46,"t0p25_to_t0p30"
"Nts","Ntsr2",1.04323941404026,"Inhibitory neurons","Microglia receptor",0.3,3.46,"t0p25_to_t0p30"
"Pecam1","Pecam1",0.1484426572942,"Pericytes/Endothelial","Microglia receptor",0.3,3.46,"t0p25_to_t0p30"
"Sema3a","Nrp2",0.593364042807913,"Inhibitory neurons","Microglia receptor",0.3,3.46,"t0p25_to_t0p30"
"Vcan","Cd44",0.809276861458011,"OPC","Microglia receptor",0.3,3.46,"t0p25_to_t0p30"
"C1qa","Cd33",0.377182762570128,"Microglia","Microglia receptor",0.6,4.42,"t0p55_to_t0p60"
"C1qa","Cd93",0.715989947226285,"Microglia","Microglia receptor",0.6,4.42,"t0p55_to_t0p60"
"C1qa","Cspg4",0.634342236212051,"Microglia","Microglia receptor",0.6,4.42,"t0p55_to_t0p60"
"C3","Itgam",0.552472339061861,"Fibroblast","Microglia receptor",0.6,4.42,"t0p55_to_t0p60"
"C3","Itgax",0.702538341419386,"Fibroblast","Microglia receptor",0.6,4.42,"t0p55_to_t0p60"
"Cd300c2","Ntng1",0.518949460230332,"Microglia","Microglia receptor",0.6,4.42,"t0p55_to_t0p60"
"Cdh4","Cdh4",0.149974680644658,"Inhibitory neurons","Microglia receptor",0.6,4.42,"t0p55_to_t0p60"
"Clu","Trem2",0.385024411082621,"Astrocytes","Microglia receptor",0.6,4.42,"t0p55_to_t0p60"
"Col1a1","Cd44",0.851345938072987,"Fibroblast","Microglia receptor",0.6,4.42,"t0p55_to_t0p60"
"Col1a1","Cd93",0.505137451794435,"Fibroblast","Microglia receptor",0.6,4.42,"t0p55_to_t0p60"
"Dcn","Kdr",0.347708256395097,"Fibroblast","Microglia receptor",0.6,4.42,"t0p55_to_t0p60"
"Fn1","Cd44",0.653771070756008,"Pericytes/Endothelial","Microglia receptor",0.6,4.42,"t0p55_to_t0p60"
"Nts","Ntsr2",1.04323941404026,"Inhibitory neurons","Microglia receptor",0.6,4.42,"t0p55_to_t0p60"
"Pecam1","Pecam1",0.1484426572942,"Pericytes/Endothelial","Microglia receptor",0.6,4.42,"t0p55_to_t0p60"
"Sema3a","Nrp2",0.593364042807913,"Inhibitory neurons","Microglia receptor",0.6,4.42,"t0p55_to_t0p60"
"Vcan","Cd44",0.809276861458011,"OPC","Microglia receptor",0.6,4.42,"t0p55_to_t0p60"
"Apoe","Sorl1",0.727703877116285,"Astrocytes","Microglia receptor",0.9,5.38,"t0p85_to_t0p90"
"Apoe","Trem2",0.385024411082621,"Astrocytes","Microglia receptor",0.9,5.38,"t0p85_to_t0p90"
"C1qa","Cd33",0.377182762570128,"Microglia","Microglia receptor",0.9,5.38,"t0p85_to_t0p90"
"C1qa","Cd93",0.715989947226285,"Microglia","Microglia receptor",0.9,5.38,"t0p85_to_t0p90"
"C1qa","Cspg4",0.634342236212051,"Microglia","Microglia receptor",0.9,5.38,"t0p85_to_t0p90"
"C3","Itgam",0.552472339061861,"Fibroblast","Microglia receptor",0.9,5.38,"t0p85_to_t0p90"
"C3","Itgax",0.702538341419386,"Fibroblast","Microglia receptor",0.9,5.38,"t0p85_to_t0p90"
"Cd300c2","Ntng1",0.518949460230332,"Microglia","Microglia receptor",0.9,5.38,"t0p85_to_t0p90"
"Cdh4","Cdh4",0.149974680644658,"Inhibitory neurons","Microglia receptor",0.9,5.38,"t0p85_to_t0p90"
"Col1a1","Cd44",0.851345938072987,"Fibroblast","Microglia receptor",0.9,5.38,"t0p85_to_t0p90"
"Col1a1","Cd93",0.505137451794435,"Fibroblast","Microglia receptor",0.9,5.38,"t0p85_to_t0p90"
"Fn1","Cd44",0.653771070756008,"Pericytes/Endothelial","Microglia receptor",0.9,5.38,"t0p85_to_t0p90"
"Ntng1","Cd300c2",0.172217637828819,"Excitatory neurons","Microglia receptor",0.9,5.38,"t0p85_to_t0p90"
"Nts","Ntsr2",1.04323941404026,"Inhibitory neurons","Microglia receptor",0.9,5.38,"t0p85_to_t0p90"
"Pecam1","Pecam1",0.1484426572942,"Pericytes/Endothelial","Microglia receptor",0.9,5.38,"t0p85_to_t0p90"
"Spp1","Cd44",0.877495978441446,"Fibroblast","Microglia receptor",0.9,5.38,"t0p85_to_t0p90"
"Spp1","Itgb5",0.644074118622928,"Fibroblast","Microglia receptor",0.9,5.38,"t0p85_to_t0p90"
"Vcan","Cd44",0.809276861458011,"OPC","Microglia receptor",0.9,5.38,"t0p85_to_t0p90"
"C1qa","Cd33",0.377182762570128,"Microglia","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"C1qa","Cd93",0.715989947226285,"Microglia","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"C1qa","Cspg4",0.634342236212051,"Microglia","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"C3","Itgam",0.552472339061861,"Fibroblast","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"C3","Itgax",0.702538341419386,"Fibroblast","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"Cd300c2","Ntng1",0.518949460230332,"Microglia","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"Cdh4","Cdh4",0.149974680644658,"Inhibitory neurons","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"Clu","Trem2",0.385024411082621,"Astrocytes","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"Col1a1","Cd44",0.851345938072987,"Fibroblast","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"Col1a1","Cd93",0.505137451794435,"Fibroblast","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"Fn1","Cd44",0.653771070756008,"Pericytes/Endothelial","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"Nts","Ntsr2",1.04323941404026,"Inhibitory neurons","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
"Pecam1","Pecam1",0.1484426572942,"Pericytes/Endothelial","Microglia receptor",1.2,8.14,"t1p15_to_t1p20"
