ligand,receptor,database,source
Apoe,Sorl1,omnipath,omnipath
Apoe,Trem2,omnipath,omnipath
C1qa,Cd33,omnipath,omnipath
C1qa,Cd93,omnipath,omnipath
C1qa,Cspg4,omnipath,omnipath
C1qb,Cd33,omnipath,omnipath
C3,Itgam,omnipath,omnipath
C3,Itgax,omnipath,omnipath
Ccn2,Itgam,omnipath,omnipath
Cd300c2,Ntng1,nichenet_verschueren,nichenet_verschueren
Cdh4,Cdh4,nichenet_verschueren,nichenet_verschueren
Clu,Trem2,omnipath,omnipath
Col1a1,Cd44,omnipath,omnipath
Col1a1,Cd93,omnipath,omnipath
Dcn,Kdr,omnipath,omnipath
Fn1,Cd44,omnipath,omnipath
Igf1,Itgb4,omnipath,omnipath
Igf2,Itgb4,omnipath,omnipath
Lcn2,Fcgr3,omnipath,omnipath
Lgals3bp,Cd33,omnipath,omnipath
Ntng1,Cd300c2,nichenet_verschueren,nichenet_verschueren
Nts,Ntsr2,omnipath,omnipath
Pecam1,Pecam1,nichenet_verschueren,nichenet_verschueren
Sema3a,Nrp2,omnipath,omnipath
Sema3d,Nrp2,omnipath,omnipath
Sema3e,Nrp2,omnipath,omnipath
Spp1,Cd44,omnipath,omnipath
Spp1,Itgb5,omnipath,omnipath
Vcan,Cd44,omnipath,omnipath
