"test_ligand","auroc","aupr","aupr_corrected","pearson","activity_rank","window","baseline_model_time","response_model_time","n_background","n_targets"
"C1qb",0.540408163265306,0.210130681275087,0.0647818440657845,0.0964368665113362,1,"t0p00_to_t0p05",0,0.05,344,50
"Igf2",0.493673469387755,0.206547705427289,0.0611988682179868,0.046036752769779,2,"t0p00_to_t0p05",0,0.05,344,50
"Dcn",0.516394557823129,0.197092159438582,0.0517433222292792,0.0783459010379808,3,"t0p00_to_t0p05",0,0.05,344,50
"Sema3a",0.526802721088435,0.194654073285537,0.0493052360762343,0.0665954718426449,4,"t0p00_to_t0p05",0,0.05,344,50
"Col1a1",0.521836734693877,0.187626221802863,0.0422773845935604,0.0592627702286994,5,"t0p00_to_t0p05",0,0.05,344,50
"Vcan",0.522653061224489,0.182879191307737,0.0375303540984347,0.0521242104344732,6,"t0p00_to_t0p05",0,0.05,344,50
"Clu",0.516734693877551,0.179503910965094,0.0341550737557915,0.0468713779743453,7,"t0p00_to_t0p05",0,0.05,344,50
"Nts",0.509115646258503,0.178235419183196,0.0328865819738932,0.1214055450865,8,"t0p00_to_t0p05",0,0.05,344,50
"Pecam1",0.530680272108844,0.178104081375013,0.0327552441657104,0.0509218975148227,9,"t0p00_to_t0p05",0,0.05,344,50
"Fn1",0.515510204081633,0.175218333722348,0.0298694965130455,0.0396554840067549,10,"t0p00_to_t0p05",0,0.05,344,50
"Ccn2",0.513741496598639,0.173842779266138,0.0284939420568361,0.0413689785564155,11,"t0p00_to_t0p05",0,0.05,344,50
"C1qa",0.507142857142856,0.173186456765444,0.0278376195561421,0.0395750748782097,12,"t0p00_to_t0p05",0,0.05,344,50
"Cdh4",0.525646258503402,0.173141762147218,0.027792924937916,0.0417639357891464,13,"t0p00_to_t0p05",0,0.05,344,50
"Sema3e",0.510816326530611,0.172648685263711,0.0272998480544087,0.0390263804590243,14,"t0p00_to_t0p05",0,0.05,344,50
"Lcn2",0.535986394557824,0.169470455105525,0.0241216178962226,0.000596290657625661,15,"t0p00_to_t0p05",0,0.05,344,50
"Apoe",0.528843537414966,0.16810972511209,0.0227608879027873,0.0272129843592253,16,"t0p00_to_t0p05",0,0.05,344,50
"Ntng1",0.522993197278911,0.164510674718808,0.0191618375095061,0.0507935664908269,17,"t0p00_to_t0p05",0,0.05,344,50
"C3",0.51204081632653,0.162127340014366,0.0167785028050635,0.0365243677795035,18,"t0p00_to_t0p05",0,0.05,344,50
"Spp1",0.530272108843537,0.161656083519228,0.0163072463099255,-0.000993271928015708,19,"t0p00_to_t0p05",0,0.05,344,50
"Sema3d",0.51251700680272,0.15713807296864,0.0117892357593373,0.0285028430049363,20,"t0p00_to_t0p05",0,0.05,344,50
"Cd300c2",0.524081632653061,0.155654908059013,0.0103060708497107,-0.00238102530397838,21,"t0p00_to_t0p05",0,0.05,344,50
