"ligand","target","weight","ligand_type","target_type"
"C1qa","Cd33",0.377182762570128,"Microglia","Microglia receptor"
"C1qa","Cd93",0.715989947226285,"Microglia","Microglia receptor"
"C1qa","Cspg4",0.634342236212051,"Microglia","Microglia receptor"
"C3","Itgam",0.552472339061861,"Fibroblast","Microglia receptor"
"C3","Itgax",0.702538341419386,"Fibroblast","Microglia receptor"
"Cd300c2","Ntng1",0.518949460230332,"Microglia","Microglia receptor"
"Cdh4","Cdh4",0.149974680644658,"Inhibitory neurons","Microglia receptor"
"Clu","Trem2",0.385024411082621,"Astrocytes","Microglia receptor"
"Col1a1","Cd44",0.851345938072987,"Fibroblast","Microglia receptor"
"Col1a1","Cd93",0.505137451794435,"Fibroblast","Microglia receptor"
"Dcn","Kdr",0.347708256395097,"Fibroblast","Microglia receptor"
"Fn1","Cd44",0.653771070756008,"Pericytes/Endothelial","Microglia receptor"
"Nts","Ntsr2",1.04323941404026,"Inhibitory neurons","Microglia receptor"
"Pecam1","Pecam1",0.1484426572942,"Pericytes/Endothelial","Microglia receptor"
"Sema3a","Nrp2",0.593364042807913,"Inhibitory neurons","Microglia receptor"
"Vcan","Cd44",0.809276861458011,"OPC","Microglia receptor"
