time,celltype,growth,interaction
0.0,VLMC,0.079970166,1.3561543
0.0,VLMC,0.20510933,0.2319152
0.0,VLMC,0.083385624,0.2319152
0.0,VLMC,0.07027017,0.2319152
0.0,VLMC,0.073063895,0.2319152
0.0,VLMC,0.050929137,0.9392453
0.0,VLMC,0.14153326,0.2319152
0.0,VLMC,0.12771195,0.2319152
0.0,VLMC,0.080171764,0.2319152
0.0,VLMC,0.06967607,0.2319152
0.0,VLMC,0.054860085,0.2319152
0.0,VLMC,0.047418587,0.2319152
0.0,VLMC,0.04935965,0.2319152
0.0,VLMC,0.025703367,1.1294215
0.0,VLMC,0.13230649,0.2319152
0.0,VLMC,0.12263078,0.2319152
0.0,VLMC,0.09103087,1.0096298
0.0,VLMC,0.07785117,0.95547116
0.0,VLMC,0.104271375,0.2319152
0.0,VLMC,0.07248118,0.2319152
0.0,VLMC,0.098692805,0.2319152
0.0,VLMC,0.0016523879,0.2319152
0.0,VLMC,0.14356768,0.2319152
0.0,VLMC,-0.028429933,0.2319152
0.0,VLMC,0.117720686,0.2319152
0.0,VLMC,0.007947223,0.2319152
0.0,VLMC,0.13554108,0.2319152
0.0,VLMC,0.123996355,0.2319152
0.0,VLMC,0.22384074,0.2319152
0.0,VLMC,0.055493884,0.2319152
0.0,VLMC,0.13192943,0.2319152
0.0,VLMC,0.026406791,0.2319152
0.0,VLMC,0.058933206,0.2319152
0.0,VLMC,0.10837855,0.40526995
0.0,VLMC,0.006120313,0.2319152
0.0,VLMC,0.097258754,1.0581698
0.0,VLMC,0.10318446,0.47223017
0.0,VLMC,-0.021988079,0.2319152
0.0,VLMC,0.07298984,0.2319152
0.0,VLMC,0.115761764,0.73971313
0.0,VLMC,0.15238714,0.2319152
0.0,obNBL,-0.03347853,0.2319152
0.0,VLMC,0.054931805,0.2319152
0.0,VLMC,0.065465994,0.2319152
0.0,reaEGC,0.15931857,0.2319152
0.0,VLMC,0.1585578,0.2319152
0.0,VLMC,0.050352827,0.2319152
0.0,reaEGC,-0.024583574,0.2319152
0.0,VLMC,0.0037841126,0.2319152
0.0,VLMC,0.16243365,0.2319152
0.0,VLMC,0.09060787,0.2319152
0.0,reaEGC,0.111183085,0.2319152
0.0,VLMC,0.18441781,0.2319152
0.0,VLMC,0.105310775,0.83438575
0.0,VLMC,0.17597318,0.2319152
0.0,VLMC,0.0886563,0.39402613
0.0,VLMC,0.09062714,0.2319152
0.0,VLMC,0.15202117,0.589975
0.0,VLMC,0.12438568,0.2319152
0.0,VLMC,0.08124618,0.2319152
0.0,VLMC,0.06019123,0.2319152
0.0,VLMC,0.18087614,0.2319152
0.0,VLMC,0.10160455,0.2319152
0.0,VLMC,0.0925349,0.2319152
0.0,VLMC,0.02706641,0.2319152
0.0,VLMC,0.14877951,0.2319152
0.0,VLMC,0.16556916,0.2319152
0.0,VLMC,0.09143257,0.2319152
0.0,VLMC,0.09877205,0.2319152
0.0,MCG,0.09807461,0.2319152
0.0,VLMC,0.20143795,0.2319152
0.0,VLMC,0.093920745,0.2319152
0.0,VLMC,0.09834709,0.2319152
0.0,VLMC,0.14900452,0.2319152
0.0,VLMC,0.1032641,0.2319152
0.0,scgnIN,0.2472103,0.2319152
0.0,VLMC,0.08684286,0.2319152
0.0,VLMC,0.08809908,0.2319152
0.0,VLMC,0.0065881163,0.2319152
0.0,VLMC,0.0740511,0.2319152
0.0,VLMC,0.12790945,0.2319152
0.0,VLMC,0.12955925,0.2319152
0.0,VLMC,0.18427601,0.2319152
0.0,MCG,0.11321924,0.2319152
0.0,VLMC,0.04053249,2.6542974
0.0,MCG,0.03868877,0.2319152
0.0,VLMC,0.09119638,0.2319152
0.0,VLMC,0.065396085,0.2319152
0.0,VLMC,0.059148625,1.0657243
0.0,VLMC,0.11162227,0.2319152
0.0,VLMC,0.050079137,0.2319152
0.0,VLMC,0.17867371,0.2319152
0.0,VLMC,0.04137989,0.83180547
0.0,VLMC,0.086260155,0.2319152
0.0,MCG,0.16689724,0.2319152
0.0,VLMC,0.099204965,0.2319152
0.0,VLMC,0.013118543,0.2319152
0.0,VLMC,0.16826689,0.2319152
0.0,VLMC,0.10138952,1.2974669
0.0,VLMC,0.08620159,0.2319152
0.0,VLMC,0.12256759,1.1856652
0.0,VLMC,0.008466683,0.2319152
0.0,VLMC,-0.025614299,0.2319152
0.0,VLMC,0.124413766,1.2212331
