variant,reference,timepoint,n_cells,raw_coordinate_rmsd,rigid_adjusted_coordinate_rmsd,rigid_adjusted_rmsd_fraction_of_baseline_radius,frame_rotation_deg,frame_translation_l2
baseline_repeat,accepted_baseline,D4,147,0.006305790154932002,0.0027400580181187895,0.01150837068572884,-1.3172812842786168,0.005883353799869606
baseline_repeat,accepted_baseline,D7,528,0.005890491641262005,0.003760294786224373,0.009192994390856751,-0.6346220875784634,0.0045373568620806085
baseline_repeat,accepted_baseline,D10,908,0.006296530603266008,0.004057872947506223,0.0072806460257497626,-0.4899109118032273,0.004862852121543211
baseline_repeat,accepted_baseline,D14,1967,0.008575600415036312,0.006388195410017965,0.008222349146998929,-0.516334613560783,0.004054278590796618
translate_low,baseline_repeat,D4,147,0.0,3.210378444368896e-17,1.3512035953163509e-16,9.54166404439055e-15,0.0
translate_low,baseline_repeat,D7,528,0.0,5.893460795472938e-17,1.4405261717254408e-16,-7.95138670365879e-15,0.0
translate_low,baseline_repeat,D10,908,0.0,5.50531927828784e-17,9.876600952880733e-17,3.1805546814635168e-15,0.0
translate_low,baseline_repeat,D14,1967,0.0,1.7374660206808333e-16,2.2358972786465554e-16,2.9817700138720455e-16,0.0
translate_moderate,baseline_repeat,D4,147,0.0,3.210378444368896e-17,1.3512035953163509e-16,9.54166404439055e-15,0.0
translate_moderate,baseline_repeat,D7,528,0.0,5.893460795472938e-17,1.4405261717254408e-16,-7.95138670365879e-15,0.0
translate_moderate,baseline_repeat,D10,908,0.0,5.50531927828784e-17,9.876600952880733e-17,3.1805546814635168e-15,0.0
translate_moderate,baseline_repeat,D14,1967,0.0,1.7374660206808333e-16,2.2358972786465554e-16,2.9817700138720455e-16,0.0
rotate_low,baseline_repeat,D4,147,0.01307535836803347,0.002906273462518272,0.01223210041923628,4.335646014383466,0.0018496572918389144
rotate_low,baseline_repeat,D7,528,0.015712370134755592,0.004397095947189748,0.010747728730765906,2.987201852696158,0.0015323869463635589
rotate_low,baseline_repeat,D10,908,0.007914020256761193,0.005186264184315332,0.009304212743248986,0.8333966662730986,0.0024463037603393374
rotate_low,baseline_repeat,D14,1967,0.025823130002841848,0.007546564482077602,0.009711466461943338,2.57835664044242,0.0014242043133611522
rotate_moderate,baseline_repeat,D4,147,0.015138223399698348,0.00356245319539087,0.014993869567625493,-4.873782388503862,0.005390456146444979
rotate_moderate,baseline_repeat,D7,528,0.017955394939978192,0.006328549228252471,0.015468739181828983,3.255919793458268,0.005599043751425761
rotate_moderate,baseline_repeat,D10,908,0.015445381469774139,0.007483791545819103,0.013426001104805166,-1.8166697733461632,0.007548421470264542
rotate_moderate,baseline_repeat,D14,1967,0.03687606080257411,0.01023797369952227,0.013174967027353372,3.631879841300002,0.01074226994772092
translate_rotate_low,baseline_repeat,D4,147,0.01307535836803347,0.002906273462518272,0.01223210041923628,4.335646014383466,0.0018496572918389144
translate_rotate_low,baseline_repeat,D7,528,0.015712370134755592,0.004397095947189748,0.010747728730765906,2.987201852696158,0.0015323869463635589
translate_rotate_low,baseline_repeat,D10,908,0.007914020256761193,0.005186264184315332,0.009304212743248986,0.8333966662730986,0.0024463037603393374
translate_rotate_low,baseline_repeat,D14,1967,0.025823130002841848,0.007546564482077602,0.009711466461943338,2.57835664044242,0.0014242043133611522
translate_rotate_moderate,baseline_repeat,D4,147,0.015138223399698348,0.00356245319539087,0.014993869567625493,-4.873782388503862,0.005390456146444979
translate_rotate_moderate,baseline_repeat,D7,528,0.017955394939978192,0.006328549228252471,0.015468739181828983,3.255919793458268,0.005599043751425761
translate_rotate_moderate,baseline_repeat,D10,908,0.015445381469774139,0.007483791545819103,0.013426001104805166,-1.8166697733461632,0.007548421470264542
translate_rotate_moderate,baseline_repeat,D14,1967,0.03687606080257411,0.01023797369952227,0.013174967027353372,3.631879841300002,0.01074226994772092
