variant,reference,timepoint,n_edges_base,n_edges_variant,n_common_edges,edge_set_jaccard,attention_spearman_common_edges,attention_weighted_jaccard_union,top500_jaccard,n_sender_receiver_pairs_common,n_sender_receiver_pairs_union,sender_receiver_spearman_common,sender_receiver_spearman_union
baseline_repeat,accepted_baseline,D4,6670,6686,6594,0.9751552795031055,0.8992823077881245,0.9230111337774083,0.48588410104011887,30,30,0.5897664071190212,0.5897664071190212
baseline_repeat,accepted_baseline,D7,33894,33897,33289,0.9648426178192568,0.7142283278023459,0.8604261443160842,0.2484394506866417,96,96,0.7625203472599024,0.7625203472599024
baseline_repeat,accepted_baseline,D10,57057,57140,55786,0.9550598346201914,0.8197844334261715,0.8798157793916263,0.272264631043257,121,123,0.8343652621595987,0.7501850069417584
baseline_repeat,accepted_baseline,D14,130206,135693,126214,0.9035615849948098,0.5545663455940946,0.8028359627800696,0.19904076738609114,100,100,0.45759375937593755,0.45759375937593755
translate_low,baseline_repeat,D4,6686,6686,6686,1.0,0.97384018959959,0.9798584860719277,0.7035775127768313,30,30,0.9635150166852057,0.9635150166852057
translate_low,baseline_repeat,D7,33897,33897,33897,1.0,0.955769321559501,0.9590878528401173,0.6778523489932886,96,96,0.9411557243624525,0.9411557243624525
translate_low,baseline_repeat,D10,57140,57140,57140,1.0,0.9588729458678896,0.9573013574714311,0.5527950310559007,123,123,0.9742038668403606,0.9742038668403606
translate_low,baseline_repeat,D14,135693,135693,135693,1.0,0.8904164590064009,0.9432924071155622,0.3157894736842105,100,100,0.8383078307830781,0.8383078307830781
translate_moderate,baseline_repeat,D4,6686,6686,6686,1.0,0.97126055847579,0.9806002344340448,0.7730496453900709,30,30,0.8825361512791992,0.8825361512791992
translate_moderate,baseline_repeat,D7,33897,33897,33897,1.0,0.932671079802417,0.9541072085462969,0.3679890560875513,96,96,0.9139582202930007,0.9139582202930007
translate_moderate,baseline_repeat,D10,57140,57140,57140,1.0,0.9071260512146206,0.9407353311196811,0.26582278481012656,123,123,0.8917852213953129,0.8917852213953129
translate_moderate,baseline_repeat,D14,135693,135693,135693,1.0,0.9196559745049863,0.9509259422605444,0.4124293785310734,100,100,0.9240084008400838,0.9240084008400838
rotate_low,baseline_repeat,D4,6686,6754,6638,0.9758894442810938,0.5323058082918132,0.8638927475334344,0.19047619047619047,30,30,0.2565072302558398,0.2565072302558398
rotate_low,baseline_repeat,D7,33897,34212,33401,0.9623429756828397,0.7368983313763972,0.8715162220339785,0.17647058823529413,96,96,0.6872626153011394,0.6872626153011394
rotate_low,baseline_repeat,D10,57140,57615,55957,0.9516820300010205,0.8325354941933782,0.8803707348837858,0.2422360248447205,120,123,0.8418987429682615,0.7134740521620565
rotate_low,baseline_repeat,D14,135693,137310,131098,0.9238434163701068,0.7110780494175993,0.8461389711059397,0.29198966408268734,100,100,0.7491269126912691,0.7491269126912691
rotate_moderate,baseline_repeat,D4,6686,6826,6656,0.970828471411902,0.7424244544718345,0.8871688258528493,0.33689839572192515,30,30,0.49766407119021133,0.49766407119021133
rotate_moderate,baseline_repeat,D7,33897,34567,33431,0.9542716866954015,0.7094168898737704,0.861108385424637,0.35135135135135137,96,96,0.8104313619099294,0.8104313619099294
rotate_moderate,baseline_repeat,D10,57140,58602,56292,0.9468797308662742,0.8076751780341594,0.8713201879258031,0.2578616352201258,120,123,0.8240919508299186,0.6969257260190975
rotate_moderate,baseline_repeat,D14,135693,139302,131484,0.9161945774191526,0.7277265076136273,0.8450463990429219,0.43061516452074394,100,100,0.7183078307830781,0.7183078307830781
translate_rotate_low,baseline_repeat,D4,6686,6754,6638,0.9758894442810938,0.4986284697272567,0.8573368653716668,0.15606936416184972,30,30,0.24315906562847608,0.24315906562847608
translate_rotate_low,baseline_repeat,D7,33897,34212,33401,0.9623429756828397,0.6970376455558732,0.8666590652921489,0.1402508551881414,96,96,0.6601329354313619,0.6601329354313619
translate_rotate_low,baseline_repeat,D10,57140,57615,55957,0.9516820300010205,0.8546669427552726,0.8879310215363423,0.2484394506866417,120,123,0.8737065073963468,0.7430172641889058
translate_rotate_low,baseline_repeat,D14,135693,137310,131098,0.9238434163701068,0.7129468936402419,0.8472357765892892,0.2531328320802005,100,100,0.7600960096009601,0.7600960096009601
translate_rotate_moderate,baseline_repeat,D4,6686,6826,6656,0.970828471411902,0.7735570869789878,0.8889043952789305,0.33511348464619495,30,30,0.5003337041156841,0.5003337041156841
translate_rotate_moderate,baseline_repeat,D7,33897,34567,33431,0.9542716866954015,0.7464926236024857,0.8684092266397294,0.45348837209302323,96,96,0.8507053716766142,0.8507053716766142
translate_rotate_moderate,baseline_repeat,D10,57140,58602,56292,0.9468797308662742,0.8305813061751023,0.8760209063050881,0.32450331125827814,120,123,0.841433432877283,0.7130419641450736
translate_rotate_moderate,baseline_repeat,D14,135693,139302,131484,0.9161945774191526,0.6931876111969378,0.8384833625819924,0.3679890560875513,100,100,0.6955535553555354,0.6955535553555354
