variant,reference,timepoint,velocity_key,celltype,n_cells,mean_cosine_rigid_adjusted,median_cosine_rigid_adjusted
baseline_repeat,accepted_baseline,D4,full,Cardiomyocytes-1,1,0.9830761239520981,0.9830761239520981
baseline_repeat,accepted_baseline,D4,full,Endocardial cells,32,0.9934749380010519,0.9979953012483849
baseline_repeat,accepted_baseline,D4,full,Epi-epithelial cells,2,0.803084726264081,0.803084726264081
baseline_repeat,accepted_baseline,D4,full,Immature myocardial cells,61,0.9925218253922244,0.997770995000904
baseline_repeat,accepted_baseline,D4,full,TMSB4X high cells,5,0.999671809995388,0.9996831485221104
baseline_repeat,accepted_baseline,D4,full,Valve cells,46,0.9166235635753095,0.9934834261282246
baseline_repeat,accepted_baseline,D4,interaction,Cardiomyocytes-1,1,0.9958213477227412,0.9958213477227412
baseline_repeat,accepted_baseline,D4,interaction,Endocardial cells,32,0.9335732159121283,0.9827239124877709
baseline_repeat,accepted_baseline,D4,interaction,Epi-epithelial cells,2,0.31218382198277306,0.31218382198277306
baseline_repeat,accepted_baseline,D4,interaction,Immature myocardial cells,61,0.8762629646845402,0.9859875771184212
baseline_repeat,accepted_baseline,D4,interaction,TMSB4X high cells,5,0.9962335184314691,0.9989387886837481
baseline_repeat,accepted_baseline,D4,interaction,Valve cells,46,0.8507068047425755,0.9871658785341465
baseline_repeat,accepted_baseline,D7,full,Cardiomyocytes-1,79,0.9587687941233237,0.9973075623144168
baseline_repeat,accepted_baseline,D7,full,Cardiomyocytes-2,10,0.9865874908010965,0.9974480377627513
baseline_repeat,accepted_baseline,D7,full,Endocardial cells,89,0.9361497436944786,0.9946960427482741
baseline_repeat,accepted_baseline,D7,full,Epi-epithelial cells,36,0.9795657661925272,0.9954525193466851
baseline_repeat,accepted_baseline,D7,full,Erythrocytes,34,0.9797551876896191,0.9967842432891225
baseline_repeat,accepted_baseline,D7,full,Fibroblast cells,1,0.9080638303157953,0.9080638303157953
baseline_repeat,accepted_baseline,D7,full,Immature myocardial cells,202,0.9810289713383074,0.9952584013913743
baseline_repeat,accepted_baseline,D7,full,MT-enriched cardiomyocytes,18,0.9983969319375805,0.9991674107017985
baseline_repeat,accepted_baseline,D7,full,Macrophages,3,0.9950043128015175,0.9994063314852843
baseline_repeat,accepted_baseline,D7,full,Valve cells,54,0.9933681575978771,0.9977785844516103
baseline_repeat,accepted_baseline,D7,full,Vascular endothelial cells,2,0.870510978294276,0.870510978294276
baseline_repeat,accepted_baseline,D7,interaction,Cardiomyocytes-1,79,0.9153820120886187,0.9959187288998719
baseline_repeat,accepted_baseline,D7,interaction,Cardiomyocytes-2,10,0.9811060374455414,0.9944060297604975
baseline_repeat,accepted_baseline,D7,interaction,Endocardial cells,89,0.9609186131131637,0.9939349394540364
baseline_repeat,accepted_baseline,D7,interaction,Epi-epithelial cells,36,0.9849419835853102,0.9977818208805759
baseline_repeat,accepted_baseline,D7,interaction,Erythrocytes,34,0.8632377300173963,0.9935769330630804
baseline_repeat,accepted_baseline,D7,interaction,Fibroblast cells,1,0.9994918706541966,0.9994918706541966
baseline_repeat,accepted_baseline,D7,interaction,Immature myocardial cells,202,0.9192885989666829,0.9929221152547513
baseline_repeat,accepted_baseline,D7,interaction,MT-enriched cardiomyocytes,18,0.9807679110131795,0.9986575558658799
baseline_repeat,accepted_baseline,D7,interaction,Macrophages,1,0.9998205485245014,0.9998205485245014
baseline_repeat,accepted_baseline,D7,interaction,Valve cells,54,0.9761478763757334,0.9947226555423396
baseline_repeat,accepted_baseline,D7,interaction,Vascular endothelial cells,2,0.9957531373664119,0.9957531373664119
baseline_repeat,accepted_baseline,D10,full,Cardiomyocytes-1,225,0.9821283645226645,0.9968584704349409
baseline_repeat,accepted_baseline,D10,full,Endocardial cells,65,0.9895823237797902,0.9977921756097411
baseline_repeat,accepted_baseline,D10,full,Epi-epithelial cells,84,0.9821935274769331,0.9966422233348097
baseline_repeat,accepted_baseline,D10,full,Erythrocytes,133,0.9930197415498724,0.9984954729770754
baseline_repeat,accepted_baseline,D10,full,Fibroblast cells,12,0.9860081868541758,0.9967187078018998
baseline_repeat,accepted_baseline,D10,full,Immature myocardial cells,263,0.9741352944139314,0.9947085027968363
baseline_repeat,accepted_baseline,D10,full,MT-enriched cardiomyocytes,11,0.9803787625727067,0.9945155561244471
baseline_repeat,accepted_baseline,D10,full,Macrophages,3,0.9449611918432873,0.9387573041351644
baseline_repeat,accepted_baseline,D10,full,Mural cells,3,0.9589067120585932,0.9656703742659997
