variant,reference,timepoint,velocity_key,n_cells,n_nonzero_pairs,zero_pair_fraction,mean_cosine_raw,median_cosine_raw,mean_cosine_rigid_adjusted,median_cosine_rigid_adjusted,meaningful_velocity_cutoff_baseline_p10,n_meaningful_pairs,mean_cosine_meaningful,median_cosine_meaningful,global_vector_cosine_rigid_adjusted,magnitude_spearman,relative_vector_field_rmse,mean_delta_l2_rigid_adjusted
baseline_repeat,accepted_baseline,D4,full,147,147,0.0,0.9655987293841313,0.9965372619418772,0.9665803939855838,0.9971519537001442,0.08088637100111773,128,0.9901754610617481,0.9974916458060024,0.9827180933407914,0.9645785007820233,0.18531105803114803,0.030009871425741998
baseline_repeat,accepted_baseline,D4,interaction,147,147,0.0,0.8788857208878568,0.9857778619666345,0.8779609071901302,0.9862156151617394,0.004571304076608846,125,0.9383652921166654,0.9897115036159855,0.8988719973281247,0.704270527166809,0.4411681614819905,0.010403902139562006
baseline_repeat,accepted_baseline,D7,full,528,528,0.0,0.9713529385829428,0.9964023863207587,0.9714336307154335,0.9964829464968007,0.0559166441192291,463,0.9900851729784994,0.9970016445202201,0.9883616157968137,0.9781881509013366,0.15275995434226294,0.02348502497506433
baseline_repeat,accepted_baseline,D7,interaction,528,526,0.0037878787878787845,0.9362334601037191,0.9946314105838302,0.9363287329541803,0.9947775832602576,0.0019005013465450656,461,0.9692837992535104,0.9957646854137787,0.9591483310872274,0.8969971287744236,0.38219800286514155,0.0021690767544517886
baseline_repeat,accepted_baseline,D10,full,908,908,0.0,0.9827403406973997,0.9966367398057393,0.9827455693649254,0.9966395838172122,0.07106311797242205,806,0.9900320176909456,0.9972915598929377,0.9883572698830625,0.9797354680219807,0.15592249930429433,0.025520187280810708
baseline_repeat,accepted_baseline,D10,interaction,908,904,0.004405286343612369,0.6441276672453381,0.930311710954707,0.6442444083122101,0.9299375674320738,0.0019895264356569885,769,0.7308768968008076,0.9466702026080029,0.7703238911104281,0.6120811494393419,0.7556979436320659,0.009203262070035623
baseline_repeat,accepted_baseline,D14,full,1967,1967,0.0,0.9871284130943127,0.9982057450093127,0.987145675675805,0.9983160967408629,0.1638675248871019,1703,0.9948847853370774,0.9986413110140648,0.992369955346544,0.9737350257488391,0.12559273798979306,0.03784517663984459
baseline_repeat,accepted_baseline,D14,interaction,1967,1963,0.0020335536349771477,0.8333335807534185,0.9722059014846927,0.8334526579306312,0.9722280640802611,0.012450241515193155,1514,0.9163336668658093,0.9814190293967441,0.8773846830023,0.6994472553194824,0.49661326342084383,0.02421942666660295
translate_low,baseline_repeat,D4,full,147,147,0.0,0.9710564884638777,0.9984758126100721,0.9710564884638777,0.9984758126100721,0.07319033616558147,130,0.9948885907773884,0.9987067155612788,0.995106519073048,0.9870078353444303,0.09990021158401949,0.019174130134007605
translate_low,baseline_repeat,D4,interaction,147,147,0.0,0.9955839582573137,0.9998888701975045,0.9955839582573137,0.9998888701975045,0.004658939078279927,131,0.9976651667590481,0.9999428348350439,0.9947943826177801,0.9952738592660315,0.16740762422086666,0.003176077924139932
translate_low,baseline_repeat,D7,full,528,528,0.0,0.9761642077955387,0.9973259451980363,0.9761642077955387,0.9973259451980363,0.0558358397707064,459,0.9937881901071003,0.9978416940049583,0.9923025855529649,0.9864055229662173,0.12413753133776297,0.02015581470923506
translate_low,baseline_repeat,D7,interaction,528,526,0.0037878787878787845,0.9909271168424494,0.9997154606898813,0.9909271168424496,0.9997154606898813,0.0021820427909966626,473,0.9931280254029894,0.9997784143946354,0.9891294792868196,0.9831580469706337,0.3398194248463831,0.0013756303253870102
translate_low,baseline_repeat,D10,full,908,908,0.0,0.9911796105050127,0.9987199416807842,0.9911796105050128,0.9987199416807842,0.07167914653083692,809,0.9964595621730193,0.9989095470492906,0.9957892551623428,0.9915413263710765,0.09169128468984529,0.016206247048443416
translate_low,baseline_repeat,D10,interaction,908,904,0.004405286343612369,0.9229451482361267,0.9939468142970657,0.9229451482361267,0.9939468142970656,0.0023811571563238736,796,0.9570568973518532,0.9951976400200624,0.9596543418804071,0.8933835373679065,0.3242370986138602,0.004077033319897562
translate_low,baseline_repeat,D14,full,1967,1967,0.0,0.9919345862912174,0.9993996698134642,0.9919345862912174,0.9993996698134642,0.14783120122020918,1755,0.997415895721498,0.9995185223127617,0.9972972256099912,0.9913839640448061,0.07421279192366016,0.0210181865770396
translate_low,baseline_repeat,D14,interaction,1967,1963,0.0020335536349771477,0.9351140766963095,0.9947327151213335,0.9351140766963095,0.9947327151213337,0.007263288305936659,1745,0.9733953224104689,0.9961264400361488,0.9777868940545772,0.9437147578851982,0.21198561512224337,0.009855950590232905
translate_moderate,baseline_repeat,D4,full,147,147,0.0,0.9909355874760621,0.9990127465635358,0.9909355874760621,0.9990127465635358,0.07319033616558147,132,0.997078867961291,0.9991745579720297,0.9973408632780325,0.9918208675547228,0.08444392976116033,0.01575413385199264
translate_moderate,baseline_repeat,D4,interaction,147,147,0.0,0.9938125491983797,0.9995569040953877,0.9938125491983797,0.9995569040953877,0.004658939078279927,131,0.9951032788771668,0.9996846433060107,0.9932218487248752,0.9859840270799175,0.24288472412027573,0.003903695977394892
translate_moderate,baseline_repeat,D7,full,528,528,0.0,0.9837339805298525,0.9973359382971518,0.9837339805298525,0.9973359382971518,0.0558358397707064,462,0.9938216244258243,0.997638219324593,0.9936857072782892,0.9890427158562235,0.11498131475135664,0.018337545399621197
translate_moderate,baseline_repeat,D7,interaction,528,526,0.0037878787878787845,0.9732124076003511,0.9989153812721223,0.973212407600351,0.9989153812721223,0.0021820427909966626,418,0.9868498848607927,0.9993900568246901,0.9857463483455416,0.9650321855509723,0.17773169993971996,0.0019531510836496044
translate_moderate,baseline_repeat,D10,full,908,908,0.0,0.9872902476958386,0.9983638563224776,0.9872902476958386,0.9983638563224777,0.07167914653083692,812,0.9959104779750353,0.9986013818521979,0.9950394967357783,0.9892739955187811,0.09972674644370055,0.01741743033609036
translate_moderate,baseline_repeat,D10,interaction,908,904,0.004405286343612369,0.8664072427261222,0.9855480560032988,0.8664072427261222,0.9855480560032988,0.0023811571563238736,743,0.9295389568022739,0.9897207109143159,0.9198272621907768,0.8378522329041371,0.39761909954269414,0.0057776565626584085
translate_moderate,baseline_repeat,D14,full,1967,1967,0.0,0.9914058683659227,0.9990815454644307,0.9914058683659227,0.9990815454644307,0.14783120122020918,1745,0.9974743825767385,0.9992540023616812,0.9963119388429487,0.9863291950107321,0.08582650116039246,0.02460379295208362
translate_moderate,baseline_repeat,D14,interaction,1967,1963,0.0020335536349771477,0.8821002189557265,0.9903441917401398,0.8821002189557265,0.9903441917401398,0.007263288305936659,1715,0.9449786173167185,0.9928480554873887,0.9527442604958923,0.8831302480426125,0.3112675632875856,0.014241079289881562
rotate_low,baseline_repeat,D4,full,147,147,0.0,0.9673326451690522,0.9954583037699455,0.969485343695363,0.9987626998592194,0.07319033616558147,131,0.9944589684435041,0.9991088448474239,0.9955440651230488,0.9860331396534919,0.09501356352111166,0.01813547592881162
rotate_low,baseline_repeat,D4,interaction,147,147,0.0,0.9471324014148492,0.9961959508106492,0.9498657939356743,0.9971091564538647,0.004658939078279927,128,0.9831579083962092,0.9977972825233383,0.9577947065461321,0.9090095127277124,0.35637910479488516,0.007016508263131054
rotate_low,baseline_repeat,D7,full,528,528,0.0,0.9870594889680941,0.9975802244453218,0.9880991654184026,0.9979869964537265,0.0558358397707064,467,0.9939937122165664,0.9982181797502954,0.9923525847302803,0.9857798326688111,0.12346496316984293,0.019020509002656873
rotate_low,baseline_repeat,D7,interaction,528,526,0.0037878787878787845,0.8842292914626244,0.9811124766986803,0.8858095606347712,0.9830602210449473,0.0021820427909966626,455,0.9235498962259169,0.9872462256582095,0.9028279188143844,0.7130296664640614,0.5711185020392154,0.004656489088758239
rotate_low,baseline_repeat,D10,full,908,908,0.0,0.9763849488398659,0.9966991863046522,0.9768674733874383,0.9972115015734258,0.07167914653083692,803,0.9926067285727885,0.9976603400438133,0.9917519206156957,0.9833990140510684,0.12928360128525263,0.02244514722317982
