stage,stage_label,sender_type,receiver_type,n_sender_cells_mean,n_sender_cells_std,n_sender_cells_min,n_sender_cells_max,n_receiver_cells_mean,n_receiver_cells_std,n_receiver_cells_min,n_receiver_cells_max,edge_count_mean,edge_count_std,edge_count_min,edge_count_max,G_AB_attention_mean_mean,G_AB_attention_mean_std,G_AB_attention_mean_min,G_AB_attention_mean_max,A_AB_mass_attention_mean,A_AB_mass_attention_std,A_AB_mass_attention_min,A_AB_mass_attention_max,edge_predictor_probability_mean_mean,edge_predictor_probability_mean_std,edge_predictor_probability_mean_min,edge_predictor_probability_mean_max,spatial_distance_mean_mean,spatial_distance_mean_std,spatial_distance_mean_min,spatial_distance_mean_max,D_AB_joint_mean,D_AB_joint_std,D_AB_joint_min,D_AB_joint_max,D_AB_spatial_mean,D_AB_spatial_std,D_AB_spatial_min,D_AB_spatial_max,D_AB_state_mean,D_AB_state_std,D_AB_state_min,D_AB_state_max,n_grouping_seeds
4.0,terminal_4,Anterior Erythroid Lineage Cell,Anterior Erythroid Lineage Cell,23.0,0.0,23,23,23.0,0.0,23,23,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
4.0,terminal_4,Anterior Erythroid Lineage Cell,Epidermis,23.0,0.0,23,23,47.0,0.0,47,47,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
4.0,terminal_4,Anterior Erythroid Lineage Cell,Eye,23.0,0.0,23,23,71.0,0.0,71,71,3.6,1.140175425099138,2,5,1.392633115053177,0.5911067741718867,0.6953338831663132,2.2004051208496094,0.007077922136447893,0.0014274441468907133,0.005388705641896888,0.008614320455518949,0.8169807821512223,0.08648275140394573,0.7336208671331406,0.941691517829895,0.057877363525331016,0.013543171570261093,0.04328681994229555,0.07978301122784615,0.031221819182679078,0.006301687974026378,0.022256284326859107,0.037724828301375836,0.002819690198628175,0.0005048139404911994,0.002006338733476525,0.0033551409869561405,0.03108893918772971,0.0062826044812900085,0.02215863557796164,0.037567125926002684,5
4.0,terminal_4,Anterior Erythroid Lineage Cell,Fast Muscle Cell,23.0,0.0,23,23,274.0,0.0,274,274,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
4.0,terminal_4,Anterior Erythroid Lineage Cell,Forebrain,23.0,0.0,23,23,47.0,0.0,47,47,7.2,0.8366600265340753,6,8,1.0236316403462773,0.17416536131186003,0.8545070042212805,1.2726666703820229,0.05034555285446583,0.024732665926388363,0.018650537659812415,0.08412961627638813,0.7832237107413156,0.05348631935323465,0.706291913986206,0.8373728479657855,0.06257628634394634,0.0029735378002068848,0.058535670240720115,0.0656382271554321,0.22392317830365424,0.11915788549850302,0.07185018053363326,0.3724887643865531,0.016439063233983586,0.012280298748652883,0.002810147653551605,0.027061472965586555,0.22311257895248562,0.11856274957110909,0.07175102055823716,0.3711741639995957,5
4.0,terminal_4,Anterior Erythroid Lineage Cell,Hatching Gland,23.0,0.0,23,23,22.0,0.0,22,22,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
4.0,terminal_4,Anterior Erythroid Lineage Cell,"Musculature System, Yolk Syncytial Layer",23.0,0.0,23,23,438.0,0.0,438,438,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
4.0,terminal_4,Anterior Erythroid Lineage Cell,Myotome,23.0,0.0,23,23,128.0,0.0,128,128,0.8,0.4472135954999579,0,1,1.0478456497192383,0.5857635256749125,0.0,1.3098070621490479,0.0014691474036252956,0.0009635942776668405,0.0,0.002558216918259859,0.6168683052062989,0.3448398659015929,0.0,0.7710853815078735,0.032032694667577744,0.0,0.032032694667577744,0.032032694667577744,0.0038251641250071295,0.0025088744459763803,0.0,0.006660733787554639,1.3846465266230097e-05,9.081712819607815e-06,0.0,2.4110761096110433e-05,0.0038251390639610985,0.0025088580087692393,0.0,0.006660690148916353,5
4.0,terminal_4,Anterior Erythroid Lineage Cell,Nervous System,23.0,0.0,23,23,824.0,0.0,824,824,9.0,2.449489742783178,6,12,1.1112212134401003,0.05530524821043761,1.0191573078433673,1.1672345797220867,0.001587458393690191,0.0005695871708422046,0.0009377516288960422,0.0020640549195261363,0.7753965977827708,0.011958710426662623,0.7595837612946829,0.7860855162143707,0.05545047182767164,0.003820560259823715,0.05049309985978263,0.05990244932472706,0.0066350249327507636,0.002296422957480946,0.003538658744852335,0.008750920300474942,0.0005253412359056686,0.00019932989440439458,0.00029992557249572854,0.0006953131835158603,0.006609098460666056,0.0022859455842274444,0.003524110846866268,0.008721898975826928,5
4.0,terminal_4,Anterior Erythroid Lineage Cell,Notochord,23.0,0.0,23,23,171.0,0.0,171,171,5.6,2.3021728866442674,3,9,1.2038898686567943,0.05582516459346796,1.151800960302353,1.291546920935313,0.006127309621951875,0.002451798159004822,0.0028514446104650247,0.009717622877545296,0.7083917535013622,0.012222008651472865,0.6993021567662557,0.7225864926973978,0.06865536928073399,0.005984541448781249,0.062443370503994323,0.07517526671290398,0.033166971966077596,0.01527000327858466,0.016060315971216096,0.056952346794445594,0.0011551079918506193,0.0004232834489579387,0.0005855531025542243,0.0017266415777421854,0.033137694833276096,0.0152629340220429,0.016041703624696833,0.05691311069721795,5
