variant,reference,timepoint,unconstrained_det,proper_residual_fraction_radius,unconstrained_residual_fraction_radius,scaled_proper_residual_fraction_radius,best_scale,proper_rotation_deg
baseline_repeat,accepted_baseline,D4,1.0000000000000007,2.560597383519908e-16,2.560597383519908e-16,5.506275861362655e-16,1.0000000000000004,6.36110936292703e-15
baseline_repeat,accepted_baseline,D7,1.0000000000000002,1.0205509208225185e-16,1.0205509208225185e-16,1.0205509208225185e-16,1.0,-1.590277340731758e-15
baseline_repeat,accepted_baseline,D10,0.9999999999999998,1.158345405572453e-16,1.158345405572453e-16,1.158345405572453e-16,1.0,1.5902773407317588e-15
baseline_repeat,accepted_baseline,D14,0.9999999999999998,9.269867692166873e-17,9.269867692166873e-17,9.269867692166873e-17,1.0,-4.969616689786746e-17
translate_low,baseline_repeat,D4,0.9999999999999999,0.009740524471728485,0.009740524471728485,0.009717637258821693,1.0009447425485676,-1.4691750342827081
translate_low,baseline_repeat,D7,1.0000000000000002,0.007707260046472768,0.007707260046472768,0.0076985714618125955,0.9994828301868489,-0.9350405060393098
translate_low,baseline_repeat,D10,0.9999999999999996,0.006268236791478352,0.006268236791478352,0.006262451117107715,0.9996193453552927,-0.8336407945421702
translate_low,baseline_repeat,D14,0.9999999999999994,0.006759768518139693,0.006759768518139693,0.006759505510225332,1.0000843397992625,-0.7890602500002278
translate_moderate,baseline_repeat,D4,0.9999999999999996,0.010314288251943903,0.010314288251943903,0.010265195248553186,1.0014236579234475,-0.6094185653522212
translate_moderate,baseline_repeat,D7,1.0000000000000007,0.008049102466523444,0.008049102466523444,0.008040253402620668,0.9994666290385239,-0.7121863844966823
translate_moderate,baseline_repeat,D10,0.9999999999999997,0.006469277217246048,0.006469277217246048,0.0064670864351326985,0.9997619679292082,-0.7461637473260219
translate_moderate,baseline_repeat,D14,0.9999999999999989,0.006966828167021196,0.006966828167021196,0.006964641510438241,0.9997532156401385,-0.528673027852877
translate_strong,baseline_repeat,D4,1.0000000000000002,0.010383887409196739,0.010383887409196739,0.010344209108139144,1.0012843255913886,-2.233791970926864
translate_strong,baseline_repeat,D7,0.9999999999999999,0.008789887127737829,0.008789887127737829,0.008788731062906213,0.9997984213861913,-0.5012043964256063
translate_strong,baseline_repeat,D10,1.0000000000000007,0.005906005859001188,0.005906005859001188,0.005905948871315987,1.0000366942045593,-0.4420877838445794
translate_strong,baseline_repeat,D14,1.0000000000000002,0.00647038534781763,0.00647038534781763,0.006470380701487571,0.9999890336162413,-0.3926055808438409
rotate_low,baseline_repeat,D4,1.0,0.016967578750913145,0.016967578750913145,0.014794669508278473,1.0118910510803985,-6.835173532001766
rotate_low,baseline_repeat,D7,1.0000000000000004,0.015707529396053375,0.015707529396053375,0.013074557527178593,1.0124667796292293,1.4881647343046331
rotate_low,baseline_repeat,D10,0.9999999999999999,0.012828622577150528,0.012828622577150528,0.009632581530851142,1.0121286851740992,-3.69088728513075
rotate_low,baseline_repeat,D14,1.0,0.01286501576516768,0.01286501576516768,0.009573455656887298,1.0123044865500999,1.758787579473112
rotate_moderate,baseline_repeat,D4,1.0000000000000002,0.02345953023884032,0.02345953023884032,0.017728358799695573,1.0222178204094543,-6.6361104497368935
rotate_moderate,baseline_repeat,D7,1.0000000000000009,0.0214255192258306,0.0214255192258306,0.01504504181672609,1.0220538757444895,4.41704358145439
rotate_moderate,baseline_repeat,D10,0.9999999999999996,0.018960576634961705,0.018960576634961705,0.011838012810697606,1.0213970577244946,-5.782855465197891
rotate_moderate,baseline_repeat,D14,0.9999999999999998,0.018441023007093136,0.018441023007093136,0.010735625745556632,1.0216665341702624,4.5600943945029195
rotate_strong,baseline_repeat,D4,-1.0000000000000004,0.9494733705607676,0.03509792701171736,0.7051921195773408,0.07560761071044736,-19.401723437438555
rotate_strong,baseline_repeat,D7,0.9999999999999997,0.029150806072903455,0.029150806072903455,0.019779323493670006,1.0312419308699527,13.142288467435773
rotate_strong,baseline_repeat,D10,1.0000000000000002,0.028141075126635044,0.028141075126635044,0.016924785550662146,1.0328491998425557,-8.262471809525952
rotate_strong,baseline_repeat,D14,0.9999999999999998,0.025295533330664092,0.025295533330664092,0.013299819009752604,1.0313902977813216,10.029985523038873
translate_rotate_low,baseline_repeat,D4,1.0000000000000007,0.01619469348061259,0.01619469348061259,0.01374397581780276,1.012264617092477,-5.983390158503715
translate_rotate_low,baseline_repeat,D7,1.0000000000000009,0.015654989983767006,0.015654989983767006,0.012918153481669057,1.01266652179572,1.7383629388626889
translate_rotate_low,baseline_repeat,D10,1.0000000000000002,0.012938525195145732,0.012938525195145732,0.010015159330425152,1.0117216130683533,-3.428492163878466
translate_rotate_low,baseline_repeat,D14,0.9999999999999999,0.012606400090944906,0.012606400090944906,0.009438744782603363,1.011960314818445,2.197278650590459
translate_rotate_moderate,baseline_repeat,D4,1.0000000000000002,0.025368606567475967,0.025368606567475967,0.019885061178402174,1.0227946459911104,-13.589398673741037
translate_rotate_moderate,baseline_repeat,D7,0.9999999999999998,0.021761862378382815,0.021761862378382815,0.015972966502670372,1.0213535956020843,4.855174086716175
translate_rotate_moderate,baseline_repeat,D10,1.0000000000000002,0.019465463057556188,0.019465463057556188,0.012212396474650881,1.0219094224502288,-5.211559365413085
translate_rotate_moderate,baseline_repeat,D14,1.0,0.01873252641119425,0.01873252641119425,0.010730443720325285,1.0221993568729852,4.669116831992583
translate_rotate_strong,baseline_repeat,D4,1.0,0.030089137878939524,0.030089137878939524,0.02113500996890897,1.0312479250926756,-14.859250375081023
translate_rotate_strong,baseline_repeat,D7,1.0000000000000002,0.029304615015646598,0.029304615015646598,0.019164861929500957,1.0323788580445532,10.815887759098285
translate_rotate_strong,baseline_repeat,D10,0.9999999999999999,0.026681546271175603,0.026681546271175603,0.01562903773878743,1.031555018797895,-9.478888439616581
translate_rotate_strong,baseline_repeat,D14,1.0000000000000004,0.025376471737420244,0.025376471737420244,0.012147128249956651,1.032539212451546,9.633891262170893
