variant,reference,timepoint,n_edges_base,n_edges_variant,n_common_edges,edge_set_jaccard,attention_spearman_common_edges,attention_weighted_jaccard_union,top500_jaccard,n_sender_receiver_pairs_common,n_sender_receiver_pairs_union,sender_receiver_spearman_common,sender_receiver_spearman_union
baseline_repeat,accepted_baseline,D4,6670,6670,6670,1.0,0.984475903018133,0.9775739647234506,0.7857142857142857,30,30,0.9292547274749722,0.9292547274749722
baseline_repeat,accepted_baseline,D7,33894,33894,33894,1.0,0.9868428380323969,0.9706170447216778,0.6778523489932886,96,96,0.9883206728160607,0.9883206728160607
baseline_repeat,accepted_baseline,D10,57057,57057,57057,1.0,0.9837727705587259,0.9731698315196008,0.5772870662460567,121,121,0.9859029941742309,0.9859029941742309
baseline_repeat,accepted_baseline,D14,130206,130206,130206,1.0,0.976619745070452,0.9723599190484309,0.6556291390728477,100,100,0.9740294029402939,0.9740294029402939
translate_low,baseline_repeat,D4,6670,6675,6599,0.9782093092202787,0.32810326558848507,0.7986011757568043,0.1001100110011001,30,30,0.20756395995550608,0.20756395995550608
translate_low,baseline_repeat,D7,33894,33618,33169,0.9658154500189267,0.7143557717095261,0.8476320013695187,0.15207373271889402,96,96,0.8040694519804666,0.8040694519804666
translate_low,baseline_repeat,D10,57057,56413,55437,0.9552668309410163,0.7990602687453647,0.8687111666531858,0.22699386503067484,119,121,0.8991026919242274,0.8064808401326428
translate_low,baseline_repeat,D14,130206,124348,121154,0.9082008995502249,0.5268217085508201,0.7978158090183184,0.17647058823529413,99,100,0.3717006802721088,0.33095709570957094
translate_moderate,baseline_repeat,D4,6670,6698,6604,0.9763453577764636,0.26235226920551713,0.7836302913151028,0.0559662090813094,30,30,0.22091212458286985,0.22091212458286985
translate_moderate,baseline_repeat,D7,33894,33744,33249,0.9668498647823431,0.7784423692913752,0.8622902882545969,0.21212121212121213,95,96,0.8630179171332586,0.8053988062940858
translate_moderate,baseline_repeat,D10,57057,56429,55312,0.9508027641214288,0.8608664964108519,0.8803529200424538,0.2578616352201258,121,122,0.934582034954613,0.8873971072727933
translate_moderate,baseline_repeat,D14,130206,123526,120387,0.9028235029434925,0.5490992532426875,0.7991756251876827,0.17096018735362997,100,100,0.3902430243024302,0.3902430243024302
translate_strong,baseline_repeat,D4,6670,6666,6584,0.9751184834123223,0.748354959096424,0.8956675579661163,0.24378109452736318,30,30,0.47363737486095664,0.47363737486095664
translate_strong,baseline_repeat,D7,33894,33619,33093,0.9614468332364904,0.7186003729619221,0.8416306960960024,0.11607142857142858,96,96,0.716942485078676,0.716942485078676
translate_strong,baseline_repeat,D10,57057,56244,55246,0.951614847988976,0.7226263978537382,0.834229616242813,0.10864745011086474,121,122,0.6276994987129113,0.5895922622686462
translate_strong,baseline_repeat,D14,130206,121191,118407,0.8903451387322355,0.6691555831123821,0.7891946773795159,0.07758620689655173,99,100,0.6238589981447124,0.5756255625562555
rotate_low,baseline_repeat,D4,6670,6813,6623,0.9654518950437317,0.8858968865143454,0.9110915271372017,0.43884892086330934,30,30,0.8456062291434927,0.8456062291434927
rotate_low,baseline_repeat,D7,33894,34222,33137,0.9473398324709111,0.968111432614574,0.9051013598229557,0.48588410104011887,95,96,0.9568029115341546,0.8962832338578406
rotate_low,baseline_repeat,D10,57057,57476,55462,0.9389040307426656,0.9735663844658223,0.908742591299209,0.564945226917058,120,121,0.9814084311410513,0.9334981709795419
rotate_low,baseline_repeat,D14,130206,129133,122846,0.9000168506809874,0.8870347061731807,0.8512636901206716,0.5151515151515151,99,100,0.891329622758194,0.8351515151515152
rotate_moderate,baseline_repeat,D4,6670,6924,6640,0.9548461317227495,0.9040304829031185,0.9045708000913381,0.5174506828528073,30,30,0.9234705228031145,0.9234705228031145
rotate_moderate,baseline_repeat,D7,33894,34782,33312,0.9419748897183576,0.7126226364157998,0.8341736463170697,0.27388535031847133,96,96,0.8261530113944655,0.8261530113944655
rotate_moderate,baseline_repeat,D10,57057,58465,55756,0.9329049961516581,0.8300708623789658,0.8566223579053619,0.36239782016348776,120,121,0.8598097090075698,0.8148895813575394
rotate_moderate,baseline_repeat,D14,130206,134799,125658,0.9017632241813602,0.7098137059562347,0.8219232046881602,0.2936610608020699,100,100,0.7268406840684069,0.7268406840684069
rotate_strong,baseline_repeat,D4,6670,7037,6597,0.9278481012658227,0.3942273350346505,0.8154774605193275,0.12359550561797752,30,30,-0.2631813125695217,-0.2631813125695217
rotate_strong,baseline_repeat,D7,33894,35333,33282,0.9259145917373766,0.44297818686686713,0.7738408921858639,0.10253583241455347,96,97,0.5291779706999457,0.4939643383126446
rotate_strong,baseline_repeat,D10,57057,59821,55935,0.9178248527312407,0.59031765110433,0.7847943925870563,0.10497237569060773,119,121,0.6197265346816694,0.540730491686339
rotate_strong,baseline_repeat,D14,130206,132491,122441,0.8729822610084417,0.2890248435598022,0.7400710242637883,0.10253583241455347,99,100,0.2329499072356215,0.1963276327632763
translate_rotate_low,baseline_repeat,D4,6670,6820,6624,0.9647538595980192,0.9269184682167723,0.9243314200861386,0.6420361247947455,30,30,0.9319243604004448,0.9319243604004448
translate_rotate_low,baseline_repeat,D7,33894,34487,33334,0.9511227779838503,0.9204081603509816,0.883310605551285,0.36425648021828105,95,96,0.8998460246360582,0.841087900162778
translate_rotate_low,baseline_repeat,D10,57057,57779,55695,0.9417324698601647,0.927264959170268,0.891730131313862,0.3812154696132597,121,123,0.9500338707492207,0.8572326831096176
translate_rotate_low,baseline_repeat,D14,130206,131691,124889,0.9115453112227023,0.8218477678773196,0.8480093428110358,0.2674271229404309,99,100,0.7944588744588743,0.7411581158115811
translate_rotate_moderate,baseline_repeat,D4,6670,6923,6631,0.9524561907497845,0.35986750558949493,0.8316639805203403,0.1001100110011001,30,30,-0.15417130144605118,-0.15417130144605118
translate_rotate_moderate,baseline_repeat,D7,33894,34677,33219,0.939663951120163,0.8424705911353182,0.8530137177451383,0.30548302872062666,96,96,0.8925529028757461,0.8925529028757461
translate_rotate_moderate,baseline_repeat,D10,57057,58581,55771,0.9315816727078357,0.8378688639415245,0.8547785564393001,0.2674271229404309,119,121,0.8962897023216068,0.8038050464126253
translate_rotate_moderate,baseline_repeat,D14,130206,129987,122341,0.8874807764849258,0.6483891232000972,0.8019389905897858,0.20192307692307693,99,100,0.5278293135435992,0.4824482448244824
translate_rotate_strong,baseline_repeat,D4,6670,6998,6638,0.9442389758179232,0.6509368924888416,0.8615706643361529,0.25,30,30,0.5087875417130144,0.5087875417130144
translate_rotate_strong,baseline_repeat,D7,33894,35176,33273,0.9294912981534765,0.7733921717655001,0.8306139451776717,0.2422360248447205,95,96,0.8301931690929453,0.7735892566467716
translate_rotate_strong,baseline_repeat,D10,57057,59219,55590,0.9160267607026332,0.8747016271999406,0.8461044187309057,0.22549019607843138,119,121,0.9473864121919956,0.8524096538585145
translate_rotate_strong,baseline_repeat,D14,130206,137105,125753,0.8883496517328586,0.816602501182703,0.8214667631348561,0.32450331125827814,99,100,0.760321583178726,0.7080348034803479
