variant,reference,timepoint,velocity_key,n_cells,n_nonzero_pairs,zero_pair_fraction,mean_cosine_raw,median_cosine_raw,mean_cosine_rigid_adjusted,median_cosine_rigid_adjusted,meaningful_velocity_cutoff_baseline_p10,n_meaningful_pairs,mean_cosine_meaningful,median_cosine_meaningful,global_vector_cosine_rigid_adjusted,magnitude_spearman,relative_vector_field_rmse,mean_delta_l2_rigid_adjusted
baseline_repeat,accepted_baseline,D4,full,147,147,0.0,0.9979007016611152,0.9997645340559591,0.9979007016611152,0.9997645340559591,0.08088637100111773,130,0.9990968446027146,0.9998072033028491,0.9991110373923514,0.9972496958798328,0.042450550949482115,0.00788528730224308
baseline_repeat,accepted_baseline,D4,interaction,147,147,0.0,0.9525893126864062,0.9972740387966912,0.9525893126864065,0.9972740387966914,0.004571304076608846,131,0.9823981323645119,0.998155336082482,0.9918652941536212,0.9257909013290618,0.14924556960501204,0.003783041336626826
baseline_repeat,accepted_baseline,D7,full,528,528,0.0,0.9931631372132278,0.999635172190953,0.9931631372132278,0.999635172190953,0.0559166441192291,470,0.9989913109502943,0.9996883909028826,0.9988232034652187,0.9979274365562267,0.04873133856174428,0.00767077959741585
baseline_repeat,accepted_baseline,D7,interaction,528,527,0.0018939393939394478,0.9946782800065518,0.9997184784796684,0.9946782800065518,0.9997184784796684,0.0019005013465450656,466,0.9984295054639605,0.9998108047773218,0.9937559211510616,0.9930216170087327,0.11181623010721405,0.0006542754478190516
baseline_repeat,accepted_baseline,D10,full,908,908,0.0,0.9973446824025405,0.9996307139974622,0.9973446824025405,0.9996307139974623,0.07106311797242205,811,0.9989728336643398,0.9996790989402012,0.9987503229320321,0.9968299910777328,0.050018471535665576,0.008670447871138206
baseline_repeat,accepted_baseline,D10,interaction,908,904,0.004405286343612369,0.9281290365547136,0.9958453987546219,0.9281290365547135,0.9958453987546219,0.0019895264356569885,797,0.9736470160648553,0.9972933190540697,0.9765369482712366,0.9455097096288331,0.2207006953436992,0.0025104938866562596
baseline_repeat,accepted_baseline,D14,full,1967,1967,0.0,0.9971339775456669,0.9997029545766924,0.9971339775456669,0.9997029545766924,0.1638675248871019,1749,0.9990222735232775,0.999756644074229,0.9984624533420198,0.9934790164302056,0.05629129656586793,0.016959896097986978
baseline_repeat,accepted_baseline,D14,interaction,1967,1963,0.0020335536349771477,0.9830143675843405,0.998370672316643,0.9830143675843405,0.9983706723166428,0.012450241515193155,1711,0.9937487734438967,0.9986969668783539,0.9877720624978331,0.974520236383709,0.15604893998282862,0.007249684755583379
translate_low,baseline_repeat,D4,full,147,147,0.0,0.9723417922905533,0.9979756656579459,0.9727884925866804,0.9981528168528074,0.07811896361619332,131,0.9913436308342407,0.9983831371884948,0.9910538244754142,0.9644991650862493,0.14070217141852506,0.025910513571284582
translate_low,baseline_repeat,D4,interaction,147,147,0.0,0.9485506999637265,0.9971349755511699,0.9484850961318557,0.9974341044045874,0.005463815425728138,126,0.9793949371566488,0.9985835916998302,0.8971764816695474,0.9175022100658108,0.4533035494420579,0.006988984326540478
translate_low,baseline_repeat,D7,full,528,528,0.0,0.9772168343761624,0.9969536006883999,0.9770996280445171,0.9968167358071242,0.05534534910194697,462,0.9913619228478731,0.9973912624857539,0.9877238179442629,0.9740172626934017,0.15623289355708753,0.02375220591369625
translate_low,baseline_repeat,D7,interaction,528,526,0.0037878787878787845,0.8277619706877057,0.9797304752259131,0.8275901370091249,0.9796443684435476,0.0017844352666525802,462,0.8560343114947249,0.9840734375955447,0.8335016147485751,0.5625063498904647,1.458483939050469,0.007246173051757887
translate_low,baseline_repeat,D10,full,908,908,0.0,0.9679927339060488,0.995302828385914,0.9682119311326417,0.9952331250174338,0.07197982912175008,795,0.9859441472936052,0.9961098752205639,0.9847775688779046,0.9668659136991806,0.17842647189809355,0.03073424659984204
translate_low,baseline_repeat,D10,interaction,908,904,0.004405286343612369,0.5425950280681257,0.855180809454635,0.5420283633121018,0.851971225661148,0.002246412270358618,795,0.5725864337681267,0.8734692260078353,0.5256301224429033,0.2825515471329177,1.4998836532207702,0.01866931899549134
translate_low,baseline_repeat,D14,full,1967,1967,0.0,0.9768768700986261,0.9972594133371171,0.9768426077500325,0.9975564488999256,0.16149507359991605,1677,0.9921090546593246,0.9982810584299101,0.9890792339252501,0.9626674124240954,0.1518128432179486,0.044475238272383075
translate_low,baseline_repeat,D14,interaction,1967,1963,0.0020335536349771477,0.7840850055353011,0.9520141719548625,0.7840855259251684,0.9522357404630637,0.011280512489434383,1667,0.8518797757539917,0.9631115355382153,0.8473678259697014,0.6571879951505436,0.5982238915694856,0.02910709252468668
translate_moderate,baseline_repeat,D4,full,147,147,0.0,0.9748166124712879,0.9972476837918359,0.9748601080172232,0.99747387067336,0.07811896361619332,130,0.9914136845113241,0.997627856971363,0.990341498368846,0.9766753054424288,0.14987668749667366,0.027015000459356217
translate_moderate,baseline_repeat,D4,interaction,147,147,0.0,0.939160254690535,0.9986569942611692,0.9389165206314455,0.9985199022996083,0.005463815425728138,127,0.9864935129718392,0.9988335874475973,0.9399003443230768,0.9551639982168358,0.5376712543234856,0.008454379882235753
translate_moderate,baseline_repeat,D7,full,528,528,0.0,0.9716773878768219,0.9967538923146162,0.9715277787560997,0.9962927793272547,0.05534534910194697,463,0.9885415711365045,0.9975080934975907,0.9861439675813736,0.9714613483996841,0.1660265741944852,0.02523755013052283
translate_moderate,baseline_repeat,D7,interaction,528,526,0.0037878787878787845,0.840575125385347,0.9819832686689893,0.8406844402154247,0.9820863656594787,0.0017844352666525802,465,0.8637204509193176,0.9855382490334622,0.4043304271815128,0.6321598664422253,1.2732145824358176,0.006374349893478783
translate_moderate,baseline_repeat,D10,full,908,908,0.0,0.9594078981255862,0.9940363420753929,0.9593879441508081,0.9942640283242818,0.07197982912175008,783,0.9823815381458254,0.9955764162264981,0.9800079959229105,0.9578985709673067,0.20448351250729996,0.03484317735250976
translate_moderate,baseline_repeat,D10,interaction,908,904,0.004405286343612369,0.5024423370079006,0.835726860759343,0.5020114180720371,0.837326159371075,0.002246412270358618,796,0.5287695776720425,0.8636028045090236,0.4981862209960254,0.2806549500337922,1.9512586483326362,0.024114706228989955
translate_moderate,baseline_repeat,D14,full,1967,1967,0.0,0.9758551393542343,0.9969500440876807,0.9759802364757756,0.9971730642152077,0.16149507359991605,1682,0.9912253782195183,0.9977581079160411,0.9880189247009,0.9607598253473961,0.15435395773894073,0.045496595170879624
translate_moderate,baseline_repeat,D14,interaction,1967,1962,0.002541942043721379,0.7385412839571532,0.9482790338874254,0.7385966781271118,0.9499900083394406,0.011280512489434383,1656,0.813823194446671,0.9618026239089684,0.821114457420213,0.5764107669909472,0.6769747088176269,0.032843654866340215
translate_strong,baseline_repeat,D4,full,147,147,0.0,0.9628768977415852,0.9955805402046963,0.9613271241414612,0.9962189661941594,0.07811896361619332,131,0.9879188294587992,0.9971840946299767,0.9864738743032333,0.9813901125055723,0.17291575726179342,0.029172823081347447
translate_strong,baseline_repeat,D4,interaction,147,147,0.0,0.9523257241039824,0.9965056653301884,0.9524855874425814,0.9962851855089171,0.005463815425728138,123,0.9747159752433127,0.9970001580828508,0.9057813627615843,0.9372530204232747,0.4869267603953235,0.007805424384447179
translate_strong,baseline_repeat,D7,full,528,528,0.0,0.9676556109367551,0.995513605121946,0.9673705987572432,0.9954374646457935,0.05534534910194697,469,0.986191378040181,0.9959983693459457,0.9867970931188174,0.9822375695922507,0.16231870825990288,0.02424532731147076
translate_strong,baseline_repeat,D7,interaction,528,527,0.0018939393939394478,0.8369938484216932,0.9751688501432464,0.8368917294694688,0.9758934305272904,0.0017844352666525802,460,0.8683116752658269,0.9797569974767459,0.8395761030174531,0.5854779360812729,1.2581029460922952,0.006609632167580741
translate_strong,baseline_repeat,D10,full,908,908,0.0,0.9745499582600783,0.9949825629638238,0.9745133599438328,0.9950373572122293,0.07197982912175008,800,0.98850743858128,0.9958799889488407,0.9870810090033052,0.970896506812356,0.16489770423804967,0.029028085929499375
translate_strong,baseline_repeat,D10,interaction,908,904,0.004405286343612369,0.5202649988307431,0.8491646355008924,0.5202167037797383,0.8480334379408736,0.002246412270358618,785,0.5693113361138332,0.8629338490308974,0.6342609479828671,0.5151689777640108,1.3528154028889567,0.016407426325473307
translate_strong,baseline_repeat,D14,full,1967,1967,0.0,0.97138857175687,0.996860323273313,0.9713142376576319,0.9968347785932646,0.16149507359991605,1692,0.9894645165560385,0.9978333966384076,0.9865878752257494,0.9542144538799328,0.16459657617281087,0.047460485190879705
translate_strong,baseline_repeat,D14,interaction,1967,1962,0.002541942043721379,0.7587609432682081,0.9496084185983401,0.7588254544090525,0.9495908095802145,0.011280512489434383,1647,0.833060559799895,0.9638726323828462,0.8130358168927379,0.6442035557386507,0.7319489689027424,0.03336002917305752
rotate_low,baseline_repeat,D4,full,147,147,0.0,0.9459309158055976,0.9863121734541493,0.9361684321404826,0.9757682786628293,0.07811896361619332,129,0.9589646176403119,0.979286952299145,0.9538591402997489,0.9310006120182245,0.30758356473072274,0.057110265367474926
rotate_low,baseline_repeat,D4,interaction,147,147,0.0,0.9446889019330617,0.9896431965603102,0.948128402630865,0.9962410616198707,0.005463815425728138,126,0.9716914444140955,0.9973617107442605,0.9640766428222702,0.8681062947207762,1.0844583905416465,0.01538955696050652
rotate_low,baseline_repeat,D7,full,528,528,0.0,0.9671324642714748,0.9961721256266496,0.9669213016204978,0.9965038408644185,0.05534534910194697,466,0.9815201540091703,0.9970313563091342,0.9829110515359516,0.9823783600995629,0.1844761032551102,0.025571254503532752
rotate_low,baseline_repeat,D7,interaction,528,525,0.005681818181818232,0.9582041231080111,0.9954483477137164,0.9590801573325693,0.9954748454111678,0.0017844352666525802,431,0.9821845635715354,0.9968651483738384,0.6538438276451752,0.9362426833971814,0.7578373196142264,0.0013096504081882624
rotate_low,baseline_repeat,D10,full,908,908,0.0,0.97993378679074,0.9966347230696233,0.9780579746626606,0.995458446273348,0.07197982912175008,802,0.9885423870397678,0.9960388649679461,0.9861925890914663,0.9777374995245205,0.166126902069547,0.028044790928635092
rotate_low,baseline_repeat,D10,interaction,908,904,0.004405286343612369,0.8234592625649402,0.9781744639675837,0.8260965050660922,0.9814559339554576,0.002246412270358618,711,0.9112751724713256,0.987473467162031,0.9153726321881319,0.8423028514742205,0.43645749247590954,0.005126429368388024
rotate_low,baseline_repeat,D14,full,1967,1967,0.0,0.9634502686230334,0.9857676402814551,0.9671361940550208,0.9895140495418585,0.16149507359991605,1721,0.9818654240474356,0.990678277499807,0.9810911120912389,0.9610562139101845,0.19982141523501037,0.061849939428980885
rotate_low,baseline_repeat,D14,interaction,1967,1963,0.0020335536349771477,0.9025995233690023,0.9873397961555141,0.9027461221951694,0.9872292291659316,0.011280512489434383,1722,0.9508365565882748,0.9899681001426491,0.9375526025780954,0.896920778844224,0.3914474942027522,0.016727200201180282
rotate_moderate,baseline_repeat,D4,full,147,147,0.0,0.9471438162673106,0.9758418303155437,0.926678861765915,0.964977329181349,0.07811896361619332,127,0.9334312721445559,0.964977329181349,0.9353148317660549,0.9400637707878412,0.3574160604943339,0.06690068348049974
rotate_moderate,baseline_repeat,D4,interaction,147,147,0.0,0.9584043062926995,0.9901905627661254,0.9581681500701313,0.9910873188372294,0.005463815425728138,128,0.980455996089491,0.9935247972856973,0.9728502607912669,0.9011590567363562,0.2772850006551759,0.006681460716473781
rotate_moderate,baseline_repeat,D7,full,528,528,0.0,0.9431444743291123,0.9909739239718405,0.943589954966272,0.9920587934935801,0.05534534910194697,468,0.976513138383571,0.9936038537709466,0.9744876129769039,0.9593655117225423,0.22445110930827672,0.034754660867255115
rotate_moderate,baseline_repeat,D7,interaction,528,526,0.0037878787878787845,0.9199998013921784,0.9861705527544025,0.9230966384269783,0.9889675435539858,0.0017844352666525802,453,0.9535986954911739,0.9916511554022591,0.8616444678068562,0.872396616242346,0.5249960171309926,0.003161250788287972
