dataset,target,space,off_relative_to_on,interaction_on,interaction_off
admouse,1.0,joint,0.008721755721231276,0.014171872527861527,0.014295476044789908
admouse,1.0,spatial,-0.00036018305169560616,0.038909658310989914,0.03889563969264748
admouse,1.0,state,0.015319951609364354,0.01112124661944604,0.011291623545166359
admouse,2.0,joint,0.03614264601174999,0.012343440660110401,0.012789548028015968
admouse,2.0,spatial,-0.002818784628637198,0.037669162328541506,0.03756299458292714
admouse,2.0,state,0.06409852881344673,0.009791473310373333,0.010419092201189193
arista,1.0,joint,0.038602573542149576,0.017324335387520155,0.01799309168868732
arista,1.0,spatial,-0.009316099167967459,0.024895801972439364,0.024664261669651768
arista,1.0,state,0.030622736625083524,0.017558651827233356,0.018096339249919085
arista,2.0,joint,0.04382892076365811,0.02489596824361842,0.025987126743988894
arista,2.0,spatial,-0.020836603933036102,0.03406425603172516,0.03335396644072269
arista,2.0,state,0.04332738037923164,0.02469313892180827,0.02576302260597325
arista,3.0,joint,0.4224030904884497,0.018769154410068333,0.026697101913268965
arista,3.0,spatial,-0.050667349202454526,0.03573549881987632,0.03392540419046963
arista,3.0,state,0.4768640082788371,0.0175518897873321,0.0259217561879569
arista,4.0,joint,1.1583303202135509,0.013533005550875374,0.029208440767789806
arista,4.0,spatial,-0.11483347388636318,0.038542016698504676,0.03411810669335807
arista,4.0,state,1.5884048632357317,0.011100728096980454,0.02873316843132602
chicken_heart,1.0,joint,0.2527999360405546,0.057287140014817765,0.07176932163844302
chicken_heart,1.0,spatial,0.3349811124373651,0.019535958628963238,0.026077477483774692
chicken_heart,1.0,state,0.17798209840582202,0.06293049278734639,0.07413099369819615
chicken_heart,2.0,joint,0.6087673486535127,0.0476389295063444,0.0766399239642259
chicken_heart,2.0,spatial,1.321013515068923,0.030744483107531567,0.07134719932381185
chicken_heart,2.0,state,0.46534420457831804,0.054299952231482214,0.0795681148474308
chicken_heart,3.0,joint,1.5162690280793,0.03663180524185411,0.0921752896944763
chicken_heart,3.0,spatial,2.744371912736531,0.04621823186208499,0.17305201093945033
chicken_heart,3.0,state,1.390888427280134,0.037575171388064654,0.08983798572869224
mosta,1.0,joint,0.10654886288452725,0.025351055695558965,0.028052181635575393
mosta,1.0,spatial,-0.10913309535779343,0.031317924549957625,0.02789991517532728
mosta,1.0,state,0.13665308009287838,0.023734064089157014,0.02697739708929567
mosta,2.0,joint,-0.0023193180779614853,0.040196892293390324,0.0401036559948369
mosta,2.0,spatial,-0.04300267031301497,0.06366458834571671,0.06092703009204897
mosta,2.0,state,0.017967776722990363,0.038495742341805445,0.039187419804335176
mosta,3.0,joint,0.11461207701648164,0.021641905635205693,0.024122289684490688
mosta,3.0,spatial,-0.23162215405060058,0.05436752275545112,0.04177500036181839
mosta,3.0,state,0.23968274176286478,0.01775561148682798,0.02201130915500182
zebrafish,1.0,joint,0.1023030050862211,0.027352575618647484,0.030150822810959654
zebrafish,1.0,spatial,0.003575430713260571,0.016091523415293633,0.01614900925904032
zebrafish,1.0,state,0.10530662373180803,0.027609359629596306,0.03051680577354149
zebrafish,2.0,joint,0.15904524022264263,0.0389278425304219,0.04511911200253318
zebrafish,2.0,spatial,0.35662011646871056,0.019227334620608914,0.026067262389202834
zebrafish,2.0,state,0.15219824650279037,0.040225576706494674,0.04634783762830597
zebrafish,3.0,joint,0.4745979310806318,0.031267655026899294,0.04610720615315473
zebrafish,3.0,spatial,0.8829413582902813,0.022633607682313445,0.04259826656123652
zebrafish,3.0,state,0.4374656085116528,0.03314368566360388,0.04764290953843442
zebrafish,4.0,joint,-0.7190103310783731,0.24945786324878447,0.06261547335437345
zebrafish,4.0,spatial,0.023827697856876145,0.05372352035947053,0.052578827899223544
zebrafish,4.0,state,-0.7283575697742232,0.26442176800599465,0.0644449647935827
