paper_display_order,ligand,receptor,source_figure,selection_contract,reference_scope
1,apoeb,lrp5,Figure 5B,"average relative distance <5 bins at >=1 stage; ligand/receptor spatial-cluster Pearson r>0.5 and p<0.05","observational LRBase.Dre.eg.db reference; not experimental ground truth"
2,apoeb,scarb1,Figure 5B,"average relative distance <5 bins at >=1 stage; ligand/receptor spatial-cluster Pearson r>0.5 and p<0.05","observational LRBase.Dre.eg.db reference; not experimental ground truth"
3,uba52,bmpr1ba,Figure 5B,"average relative distance <5 bins at >=1 stage; ligand/receptor spatial-cluster Pearson r>0.5 and p<0.05","observational LRBase.Dre.eg.db reference; not experimental ground truth"
4,cgnb,f11r.1,Figure 5B,"average relative distance <5 bins at >=1 stage; ligand/receptor spatial-cluster Pearson r>0.5 and p<0.05","observational LRBase.Dre.eg.db reference; not experimental ground truth"
5,cenps,ssr4,Figure 5B,"average relative distance <5 bins at >=1 stage; ligand/receptor spatial-cluster Pearson r>0.5 and p<0.05","observational LRBase.Dre.eg.db reference; not experimental ground truth"
6,psen1,notch3,Figure 5B,"average relative distance <5 bins at >=1 stage; ligand/receptor spatial-cluster Pearson r>0.5 and p<0.05","observational LRBase.Dre.eg.db reference; not experimental ground truth"
7,tfa,spint1a,Figure 5B,"average relative distance <5 bins at >=1 stage; ligand/receptor spatial-cluster Pearson r>0.5 and p<0.05","observational LRBase.Dre.eg.db reference; not experimental ground truth"
8,c1d,mdka,Figure 5B,"average relative distance <5 bins at >=1 stage; ligand/receptor spatial-cluster Pearson r>0.5 and p<0.05","observational LRBase.Dre.eg.db reference; not experimental ground truth"
9,apobb.1,mttp,Figure 5B,"average relative distance <5 bins at >=1 stage; ligand/receptor spatial-cluster Pearson r>0.5 and p<0.05","observational LRBase.Dre.eg.db reference; not experimental ground truth"
10,apobb.1,lsr,Figure 5B,"average relative distance <5 bins at >=1 stage; ligand/receptor spatial-cluster Pearson r>0.5 and p<0.05","observational LRBase.Dre.eg.db reference; not experimental ground truth"
11,dla,notch1a,Figure 5B,"average relative distance <5 bins at >=1 stage; ligand/receptor spatial-cluster Pearson r>0.5 and p<0.05","observational LRBase.Dre.eg.db reference; not experimental ground truth"
12,dla,notch3,Figure 5B,"average relative distance <5 bins at >=1 stage; ligand/receptor spatial-cluster Pearson r>0.5 and p<0.05","observational LRBase.Dre.eg.db reference; not experimental ground truth"
13,mdka,sdc4,Figure 5B,"average relative distance <5 bins at >=1 stage; ligand/receptor spatial-cluster Pearson r>0.5 and p<0.05","observational LRBase.Dre.eg.db reference; not experimental ground truth"
14,mmp2,bsg,Figure 5B,"average relative distance <5 bins at >=1 stage; ligand/receptor spatial-cluster Pearson r>0.5 and p<0.05","observational LRBase.Dre.eg.db reference; not experimental ground truth"
15,hspa8,lrp2a,Figure 5B,"average relative distance <5 bins at >=1 stage; ligand/receptor spatial-cluster Pearson r>0.5 and p<0.05","observational LRBase.Dre.eg.db reference; not experimental ground truth"
16,uba52,lrp2a,Figure 5B,"average relative distance <5 bins at >=1 stage; ligand/receptor spatial-cluster Pearson r>0.5 and p<0.05","observational LRBase.Dre.eg.db reference; not experimental ground truth"
17,mdka,lrp2a,Figure 5B,"average relative distance <5 bins at >=1 stage; ligand/receptor spatial-cluster Pearson r>0.5 and p<0.05","observational LRBase.Dre.eg.db reference; not experimental ground truth"
18,col1a1a,itga5,Figure 5B,"average relative distance <5 bins at >=1 stage; ligand/receptor spatial-cluster Pearson r>0.5 and p<0.05","observational LRBase.Dre.eg.db reference; not experimental ground truth"
19,col1a1a,ddr1,Figure 5B,"average relative distance <5 bins at >=1 stage; ligand/receptor spatial-cluster Pearson r>0.5 and p<0.05","observational LRBase.Dre.eg.db reference; not experimental ground truth"
20,fn1c,sdc4,Figure 5B,"average relative distance <5 bins at >=1 stage; ligand/receptor spatial-cluster Pearson r>0.5 and p<0.05","observational LRBase.Dre.eg.db reference; not experimental ground truth"
21,thbs1b,sdc4,Figure 5B,"average relative distance <5 bins at >=1 stage; ligand/receptor spatial-cluster Pearson r>0.5 and p<0.05","observational LRBase.Dre.eg.db reference; not experimental ground truth"
